LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
 O         8.000000     26.000000    34.000000       103.989921     372.887602       476.877523         -9.515123           15.159477         -2.610808          -2.096969          -4.351233       -162.794558      -1.698512      -1.099712       -165.592782       -27.790131          1.068014          -0.000004            -0.000006             -0.000006             -0.000003           -0.000037             -0.000040             2.109644          1.053365        2.870931        4.145914          3.883758           2.980309   
 O         8.000000     28.000000    36.000000       102.655486     399.214472       501.869958        -10.846271           15.053672         -2.593572          -2.041867          -4.771529       -159.884871      -1.684454      -1.163667       -162.732992       -28.952837          1.166887          -0.000002            -0.000003             -0.000003             -0.000002           -0.000017             -0.000019             2.101370          1.063543        2.890378        4.269149          4.003998           2.999047   
 O         8.000000     30.000000    38.000000       101.176126     425.317583       526.493709        -12.196266           14.941795         -2.575522          -1.923547          -4.411696       -156.946345      -1.657575      -1.208521       -159.812440       -30.135882          1.306522          -0.000001            -0.000001             -0.000001             -0.000001           -0.000006             -0.000006             2.084163          1.027061        2.911164        4.370365          4.106483           3.019085   
 O         8.000000     32.000000    40.000000        99.635939     451.592759       551.228698        -13.572382           14.825171         -2.556580          -1.807496          -3.649537       -153.846756      -1.626237      -1.323705       -156.796698       -31.315578          1.599110          -0.000001            -0.000001             -0.000001             -0.000001           -0.000004             -0.000005             2.066774          1.017047        2.933267        4.448294          4.189352           3.040404   
 O         8.000000     34.000000    42.000000        98.273030     474.955283       573.228313        -14.216867           14.723213         -2.539490          -1.713859          -3.333281       -149.925072      -1.597224      -1.332238       -152.854533       -32.195961          1.985649           0.000000             0.000000              0.000000              0.000000            0.000001              0.000001             2.049211          0.995127        2.953349        4.548595          4.290711           3.059782   
 O         8.000000     36.000000    44.000000        97.209997     493.792323       591.002321        -14.168750           14.646196         -2.526061          -1.640070          -2.608218       -145.064886      -1.571032      -0.964425       -147.600343       -32.748654          2.339958           0.000000             0.000000              0.000000              0.000000            0.000003              0.000003             2.031587          0.775241        2.969227        4.700953          4.436658           3.075112   
 O         8.000000     38.000000    46.000000        96.371574     509.660799       606.032373        -13.270107           14.589784         -2.515567          -1.581445          -3.006031       -139.560321      -1.548651      -0.825534       -141.934506       -32.973212          2.455975           0.000000             0.000000              0.000000              0.000000            0.000001              0.000000             2.014497          0.702832        2.981663        4.867721          4.595653           3.087121   
 O         8.000000     40.000000    48.000000        95.719133     524.928831       620.647965        -12.429948           14.539279         -2.506061          -1.609292          -3.293637       -134.196878      -1.553726      -0.800564       -136.551168       -33.164502          2.433212           0.000000             0.000000              0.000000              0.000000           -0.000001             -0.000001             2.014767          0.682142        2.992868        5.014587          4.737926           3.097944   
NE        10.000000      2.000000    12.000000        91.403916      22.843440       114.247357         -2.047564           18.749616         -2.728714          -2.996474          -1.713770         -7.838804      -1.655785      -2.498663        -11.993252         4.425483        -26.826885           0.000001             0.000000              0.000001              0.000001            0.000000              0.000001             1.539316          3.911736        3.881844        2.093234          3.645206           3.963421   
NE        10.000000      4.000000    14.000000       127.211943      56.293142       183.505085         -7.241862           22.161397         -3.231345          -4.458178          -2.305810        -54.748341      -1.844530      -1.647795        -58.240665         2.476957        -24.116019           0.000001             0.000001              0.000001              0.000002            0.000000              0.000002             1.938322          2.118363        3.248028        2.357415          3.020483           3.345099   
