    EDF      Z      N                 N-N                 P-P                 N-P
   SKMS     20     52       7.73321939723                 N/A                 N/A    
   SKMS     20     54       43.0394456519                 N/A                 N/A    
   SKMS     22     18                 N/A       1.54128505412                 N/A    
   SKMS     22     20      0.820725619935       1.49141152033      -1.03024649162    
   SKMS     22     22       2.38206542938       1.45678837891      -1.21336988003    
   SKMS     22     24       4.19951915506       4.70768234913      -1.22322213836    
   SKMS     22     26       2.03726566352       2.66111026843       -1.2474481888    
   SKMS     22     28      0.884857282475       1.40339797735      -1.29183194042    
   SKMS     22     30        1.6804449146       1.38489385481      -1.73181614693    
   SKMS     22     32       1.12554117427       1.40703227697       -1.7393073904    
   SKMS     22     34        2.3946374489       1.44569882913      -1.76337919883    
   SKMS     22     36       6.54125981393       1.61744904025      -1.61989490122    
   SKMS     22     38       7.30493539698       2.83946918963      -1.59577184292    
   SKMS     22     40       5.37901913586       4.38059484097      -1.60949537894    
   SKMS     22     42        7.0230390797       8.51647298788      -1.69409907176    
   SKMS     22     44       155.648079692       11.4604642634      -1.77692880068    
   SKMS     22     46       3.64459711257       2.54119111981      -1.51961365342    
   SKMS     22     48       4.73669314873       2.05290753294      -2.08840096881    
   SKMS     22     50       2.30415011999       1.58405364873      -2.01091625891    
   SKMS     22     52       4.99759490745        1.8239546346        -3.322077029    
   SKMS     22     54       141.208034737        2.0942265838      -4.34343544026    
   SKMS     22     56       4.82846282265        1.7401730254      -4.05868451947    
   SKMS     24     20      0.735746520609       2.11163696737      -1.05380185364    
   SKMS     24     22      -15.7438785832       2.02655804316      -1.23729414905    
   SKMS     24     24       1.12184844725      0.872939698635     -0.774272024603    
   SKMS     24     26       1.44549403372       1.02056931949       -1.5667295578    
   SKMS     24     28       1.00046096239        1.6427313859      -2.28664854498    
   SKMS     24     30       1.73404741406       1.76375008543       -1.7608493633    
   SKMS     24     32       1.12528659643       1.76906298041      -1.70560346169    
   SKMS     24     34       3.19562327436       1.91604099945      -1.70618838794    
   SKMS     24     36      -20.3725113704        1.7284867142      -1.44765252286    
   SKMS     24     38       3.51596423561      0.937919572459      -1.12015323696    
   SKMS     24     40       4.34829872812      0.824608460442      -1.34190047325    
   SKMS     24     42       3.99040706142      0.750052784965      -1.42624003548    
   SKMS     24     44       4.03951861057      0.747685772344      -1.68653474873    
   SKMS     24     46       4.15035060087       0.93551736098       -2.8425059817    
   SKMS     24     48       4.11104339309         1.140714555      -2.59580129141    
   SKMS     24     50       2.48102942873       1.72321690131      -2.83199474382    
   SKMS     24     52       3.53161279044       1.37236946794      -2.60383440655    
   SKMS     24     54       6.29575241324       1.46750108779      -3.32238607123    
   SKMS     24     56       7.67842745806       1.95436078966      -6.70093075928    
   SKMS     24     58       2.94756140876       2.01715794548       -4.4227581868    
   SKMS     26     22       11.7111789058        1.3159383825      -1.26849787019    
   SKMS     26     24       1.37583138911       1.02916711049      -1.56389589927    
   SKMS     26     26       1.45483695097        1.0348206811      -1.24380971453    
   SKMS     26     28      0.834524443117        1.3444198677      -1.23697427434    
   SKMS     26     30       1.67124518211       1.32951496635      -1.64021478613    
   SKMS     26     32        1.1803522112       1.32470289398      -1.70066436453    
   SKMS     26     34       3.24413055679       1.23517633995      -1.58865509623    
   SKMS     26     36       5.55647391722       1.14380388567      -1.57693325118    
   SKMS     26     38       11.0133674748       1.48826189242      -2.46861007995    
   SKMS     26     40       4.03099025307       1.27968632329      -1.67027306459    
   SKMS     26     42       4.12385588773       1.16042195263       -1.7223517335    
   SKMS     26     44       4.63113045894       1.10521906547      -1.69862632089    
   SKMS     26     46       3.52413592592       1.10256531115      -1.61203155874    
   SKMS     26     48       5.83679163237       1.46990030034        -1.731538017    
   SKMS     26     50        1.2242782956       1.38321147817      -1.53978456874    
   SKMS     26     52        5.8608316227       1.54521352726      -4.24282088189    
   SKMS     26     54       5.31703484918        1.4094834983      -2.87170857327    
   SKMS     26     56       4.82649358861         1.527694232      -3.13492153683    
   SKMS     26     58       2.69400543381       1.52221192615      -4.13167653104    
   SKMS     26     60                 N/A       1.57941329534       -4.7596042865    
   SKMS     28     24       2.89664901159                 N/A      -2.33817901449    
   SKMS     28     26       2.14734086728      0.697599872758      -1.23565100273    
   SKMS     28     28      0.614284667808      0.527142293101     -0.969969736944    
   SKMS     28     30       1.62754986202       0.54073542451      -1.66295965244    
   SKMS     28     32       1.16586872668      0.557482431638      -1.70860363087    
   SKMS     28     34       3.18948744937      0.556121486407      -1.73989144817    
   SKMS     28     36       7.04222872454      0.579442173916      -1.75602646332    
   SKMS     28     38       4.78358465091      0.535266286949      -1.64626058083    
   SKMS     28     40       4.21979654251      0.547470855731      -2.04420490906    
   SKMS     28     42       5.07329645047      0.570783585976      -1.99885066087    
   SKMS     28     44       6.97150744906      0.587004742265       -1.8326144903    
   SKMS     28     46       10.2316182583      0.549643679744      -1.61771069671    
   SKMS     28     48       2.71222297185      0.420283424432      -1.24350463128    
   SKMS     28     50      0.899179902969      0.396291543366      -1.64797723155    
   SKMS     28     52        5.0966516273      0.431359908483      -3.21039912485    
   SKMS     28     54       9.99063378083      0.462792897286      -3.49766836683    
   SKMS     28     56        2.9291111173      0.456617772797      -2.67461383591    
   SKMS     28     58       2.65269052452      0.482204891511      -4.17231667884    
   SKMS     28     60       4.20757215723      0.493334313424      -4.27544558159    
   SKMS     28     62       6.34303447598                 N/A                 N/A    
   SKMS     28     70        8.1722881794                 N/A                 N/A    
   SKMS     30     28      0.646700855585       1.25818923921      -1.76234589387    
   SKMS     30     30       1.60612189421       1.22824848695      -1.54077210401    
   SKMS     30     32        1.0773554694       1.20323767193      -1.56048112754    
   SKMS     30     34       4.13136501333       1.18863098238      -1.75328247353    
   SKMS     30     36       3.13644311668       1.03217256067      -1.55802554539    
   SKMS     30     38       6.98232598735       1.21578662458      -2.15050988589    
   SKMS     30     40       5.18342857883       1.26210118391      -1.88382276619    
   SKMS     30     42        5.6205193922       1.22295772938       -1.7394594195    
   SKMS     30     44       4.25237867432       1.09631932712      -1.68326860464    
   SKMS     30     46       2.80974250115       1.13517396115      -1.99060137561    
   SKMS     30     48       6.66057224306       1.71726811836      -4.09512986681    
   SKMS     30     50      0.944957858423       1.29598100092      -2.16096370337    
   SKMS     30     52       3.71086085478       1.43641528202      -1.93561093446    
   SKMS     30     54       5.03042147386       1.41857503429       -2.2554996129    
   SKMS     30     56       3.02863957296       1.20759237478      -2.90137641297    
   SKMS     30     58       2.21150380047         1.213611748      -2.80991027254    
   SKMS     30     60       6.85167326426       1.47581871043      -3.56280150208    
   SKMS     30     62      -6.85132119165       2.25769946069      -2.68532069442    
   SKMS     30     64       27.2925764192       1.34038959094      -1.47927790528    
   SKMS     30     66       6.88009879822                 N/A                 N/A    
   SKMS     30     68       6.30864078757      0.884776643666                 N/A    
   SKMS     30     70       9.41225192833      0.967211529161      -3.66964397114    
   SKMS     30     72       16.2888335974       1.04343262203      -3.46468832963    
   SKMS     30     74       12.7432771249                 N/A                 N/A    
   SKMS     30     76       7.55802199006                 N/A                 N/A    
   SKMS     32     30       1.59143426422                 N/A      -1.58818201995    
   SKMS     32     32       1.00810770623      0.864701085805      -1.60280940432    
   SKMS     32     34       3.47361227019       1.19027497733      -1.78524964262    
   SKMS     32     36       4.50814452661       1.69274194572      -1.94434601193    
   SKMS     32     38       5.16733109932       1.95859529545       -1.6357951232    
   SKMS     32     40       4.89212258191       1.79206812726      -1.78247161971    
   SKMS     32     42        4.3894013515       1.35457257986      -1.81973355461    
   SKMS     32     44       4.96993191193       1.24767036549      -2.00148510195    
