    EDF      Z      N                 N-N                 P-P                 N-P
   SLY4      2      4       0.79430609618                 N/A                 N/A    
   SLY4      4      4       0.53448232781      0.433720182822     -0.241468568368    
   SLY4      4      6      0.478331751052      0.369835889023     -0.283340941038    
   SLY4      6      4                 N/A      0.417504851145                 N/A    
   SLY4      6      6      0.385867003606      0.335955296444     -0.319381779078    
   SLY4      6      8      0.392257926846      0.317587503694     -0.380216318371    
   SLY4      6     10       1.66776391634                 N/A                 N/A    
   SLY4      6     12          5.89828699                 N/A                 N/A    
   SLY4      6     14       1.86219565904                 N/A                 N/A    
   SLY4      8      6      0.372678075833                 N/A     -0.392211580106    
   SLY4      8      8      0.344401478447      0.310042597528     -0.406846452792    
   SLY4      8     10       1.27359128864      0.284340999925     -0.475356395487    
   SLY4      8     12        2.2732968886      0.285245098277     -0.521346873581    
   SLY4      8     14       1.26013145691      0.259712956151      -0.60688458982    
   SLY4      8     16      0.828895289803      0.255235958305     -0.718807914578    
   SLY4     10      8                 N/A      0.896852943023                 N/A    
   SLY4     10     10       1.49685025286       1.01553695374     -0.551832525451    
   SLY4     10     12      0.938056824668       0.81308481125     -0.518334596126    
   SLY4     10     14       1.29361713137      0.821964029621     -0.767393746662    
   SLY4     10     16      0.761914630513      0.766489243569     -0.755484581976    
   SLY4     10     18       1.43070215285      0.787686723599     -0.821290645931    
   SLY4     12      8                 N/A       1.40750856557                 N/A    
   SLY4     12     10       1.07938877452      0.701170323387     -0.514812904764    
   SLY4     12     12      0.697491975791      0.563749418457     -0.593798663656    
   SLY4     12     14       1.17120464547      0.763972872851     -0.759648821946    
   SLY4     12     16      0.771974246939       0.78945353237     -0.809321931876    
   SLY4     12     18        1.2997622085      0.762078806188     -0.798272378918    
   SLY4     12     20      0.876706948429      0.770412166657     -0.845815276058    
   SLY4     12     22        -3.723472585                 N/A                 N/A    
   SLY4     12     24       1.48955597826      0.559136592457                 N/A    
   SLY4     12     26       2.00087638386                 N/A                 N/A    
   SLY4     14     10       1.22433488008        1.0398666683     -0.815167661647    
   SLY4     14     12       1.01128441717      0.868404010203     -0.748266780303    
   SLY4     14     14      0.736778509644      0.593138631623     -0.561391374839    
   SLY4     14     16      0.732050354084      0.516387492527     -0.782564310646    
   SLY4     14     18       1.28190254849      0.502280100516     -0.828360409674    
   SLY4     14     20      0.789724421714      0.488618188983     -0.835781476575    
   SLY4     14     22       5.36961762953      0.480301225717     -0.933835425514    
   SLY4     14     24       2.54629806456      0.568305166235      -1.62323696175    
   SLY4     14     26       3.33764445742       0.61770299728      -1.11773430785    
   SLY4     14     28       1.96745727298      0.512940396198      -0.91337922455    
