    EDF      Z      N                 N-N                 P-P                 N-P
    SKP     22     46       4.44605490433       1.53768323418      -1.48841806091    
    SKP     22     48       4.27323034848       1.40121029539      -1.74851845845    
    SKP     22     50       5.61349934322                 N/A                 N/A    
    SKP     22     52       9.25685933277                 N/A                 N/A    
    SKP     22     54       13.0340710618                 N/A                 N/A    
    SKP     24     20                 N/A       1.51101682366                 N/A    
    SKP     24     22        3.9774834661       1.50234064673      -1.19333949494    
    SKP     24     24       1.23541858607       0.94790638287     -0.830216734305    
    SKP     24     26       1.42731640964      0.954357153372       -1.2627597931    
    SKP     24     28       1.62134467842       1.15273243697      -1.66597181759    
    SKP     24     30        1.6083072285       1.40172636619       -1.7272909816    
    SKP     24     32       1.35180530219       1.40418869488      -1.53235275527    
    SKP     24     34       2.17810708337       1.37358722262      -1.48217151466    
    SKP     24     36       3.30915444486       1.36308214683      -1.46149205917    
    SKP     24     38       2.82440597447        1.3836693805      -1.50716581989    
    SKP     24     40       2.61306059949       1.37457847692      -1.52054830972    
    SKP     24     42       36.1539434914       1.36567525472      -1.59509540066    
    SKP     24     44       2.76914151767      0.813806719277      -1.15150859141    
    SKP     24     46       3.08430881025      0.857979509733      -1.64507167372    
    SKP     24     48       3.43213300202       0.89796874979      -1.96628605923    
    SKP     24     50       4.10038984456      0.971730654725      -2.21619417407    
    SKP     24     52       4.55923067542       1.07606603172       -2.5941228849    
    SKP     24     54       12.7190458172       1.28494941957      -3.64724569124    
    SKP     24     56       4.84900207537       1.44849128769      -3.67269999458    
    SKP     26     22       3.69820433688       1.31916680106      -1.19880718685    
    SKP     26     24       1.21128212396       1.02796369643      -1.22672857557    
    SKP     26     26       1.39064554462       0.99909906242      -1.25149083846    
    SKP     26     28       1.50533320739       1.08356478729      -1.28111180006    
    SKP     26     30       1.42659712006        1.0972073604       -1.3641834322    
    SKP     26     32       1.36096315362       1.09363004245      -1.52942089625    
    SKP     26     34       2.27628267106       1.10062551299      -1.51786527428    
    SKP     26     36       3.26369692005       1.09549693247      -1.47357547617    
    SKP     26     38       2.66246706861       1.09015321831      -1.48277204233    
    SKP     26     40       2.41901295805        1.0972684599      -1.53168031841    
    SKP     26     42       3.59754934938       1.08764043477      -1.60725450393    
    SKP     26     44       16.1671031785       1.36924732132      -2.68910093944    
    SKP     26     46       2.29946112129       1.01512511036      -1.49000153098    
    SKP     26     48       3.16370846743       1.09632744012      -1.78419294263    
    SKP     26     50       3.39710261118       1.15515292059      -1.86651871395    
    SKP     26     52        3.5797002359       1.13940020264      -2.06071908793    
    SKP     26     54       6.95770757451       1.15618865877      -2.35155928957    
    SKP     26     56       3.80690610837       1.16120551712      -2.77664783637    
    SKP     26     58       3.18613394507       1.18543070105      -3.29278813543    
    SKP     28     24       1.52657130939       1.10633175792      -1.66546336938    
    SKP     28     26       1.58368487838       1.06303985815      -1.29711401859    
    SKP     28     28        1.2847121185      0.928907029411      -1.16469483831    
    SKP     28     30       1.25845999733      0.846296300606        -1.343157636    
    SKP     28     32       1.38695678104       0.81632503124      -1.53642636446    
    SKP     28     34       2.32787408064      0.775248787026      -1.50459258078    
    SKP     28     36       3.21718232737      0.734784091043      -1.48286988706    
    SKP     28     38       2.58596056152      0.704552572128      -1.49267544161    
    SKP     28     40        2.1828997094       0.66576909896      -1.51785145091    
    SKP     28     42       3.02011015852      0.642657001105      -1.62836878971    
    SKP     28     44       4.84377611098      0.634296909626       -1.7826432053    
    SKP     28     46       4.59113108253      0.734853610731      -2.40172011194    
    SKP     28     48       2.72242557229      0.659150700801      -1.57867774688    
    SKP     28     50       2.47968979081      0.610809651098      -1.71760289622    
    SKP     28     52       3.17805110783      0.612709525596      -2.11282931086    
    SKP     28     54       4.59060944931      0.609003569674      -2.28313760185    
    SKP     28     56       3.27577791536      0.619738804883      -2.74813418864    
    SKP     28     58       3.01723064993      0.646349739844      -3.11242628413    
    SKP     28     60       3.84118984697      0.663962237812      -3.29247373429    
    SKP     30     26       1.55566479779                 N/A      -1.36215331921    
    SKP     30     28       1.16047783835       1.01174791087       -1.3835880173    
    SKP     30     30       1.20981449914      0.975400164014      -1.56389528783    
    SKP     30     32       1.37220233672      0.968057725282      -1.64615014865    
    SKP     30     34       2.34758591871      0.977036228992      -1.66742951567    
    SKP     30     36       3.30445241919      0.978072829748      -1.65746085285    
    SKP     30     38       2.36910263723      0.963012611613      -1.63521200115    
    SKP     30     40       2.10900720068       0.99162645828      -1.73567643867    
    SKP     30     42       2.85102130711      0.996590911639      -1.78541538805    
    SKP     30     44       8.71044098785       1.11454173248      -1.85028938526    
    SKP     30     46       2.68269127589       1.04990045631      -1.58202378019    
    SKP     30     48       2.61551931463       1.09490529617      -2.09576383257    
    SKP     30     50        2.5837122778       1.12230737418      -2.16384996514    
    SKP     30     52        2.7399380911       1.13169539287       -2.0904080581    
    SKP     30     54       3.94366474906       1.16551746644      -2.33611018965    
    SKP     30     56       3.22713894769       1.10174323323      -2.54889578648    
    SKP     30     58       2.67099545998       1.04853814123      -2.57914260273    
    SKP     30     60       4.17002875235        1.1899566469      -2.90054116847    
    SKP     30     62       5.78425035392       1.43705776793      -2.73753037803    
    SKP     30     64       8.64315440563                 N/A                 N/A    
    SKP     30     66       27.2110694631                 N/A                 N/A    
    SKP     30     68       17.7556818182                 N/A                 N/A    
    SKP     32     30       1.20559165465       1.11601444457      -1.65948317886    
    SKP     32     32       1.39035793722        1.1000210654      -1.66749485578    
    SKP     32     34       2.32142173153       1.26263662517      -1.64144787192    
    SKP     32     36       3.21040685486       1.40483128503      -1.65448620138    
    SKP     32     38       2.42986793668       1.28273088274      -1.67911379732    
    SKP     32     40       1.94119160046       1.31489499906      -1.64987098009    
    SKP     32     42       3.71441014703       1.35330633036      -1.76954428484    
    SKP     32     44       5.41736753859       1.18699257922      -1.54643878345    
    SKP     32     46       2.30777929322       1.12587793851      -1.73352211389    
    SKP     32     48       2.41430572716       1.16785218261      -1.93684622361    
    SKP     32     50        2.5926096366       1.23314483687      -2.06424444783    
    SKP     32     52       2.51867122462        1.2326428479      -2.05860011075    
    SKP     32     54       2.74263397081       1.23928214582      -2.20408019325    
    SKP     32     56       3.21683304395       1.43164383851      -2.91832555235    
    SKP     32     58       3.87662260885       1.68750595901      -2.92680499723    
    SKP     32     60       5.31579828672       1.72715822453      -2.18290447446    
    SKP     32     62       5.32502629232       1.57464258566      -1.96157952268    
    SKP     32     64       5.72731125646       1.45025112911      -2.02067555225    
    SKP     32     66        9.5188914299       1.41652589941      -2.29368056599    
    SKP     32     68       14.4069902717        1.3720013624      -2.71978589845    
    SKP     32     70       7.91644978893       1.21626166167      -2.82019627156    
    SKP     32     72       7.67551013359                 N/A                 N/A    
    SKP     32     74        7.0796209571                 N/A                 N/A    
    SKP     34     32       1.72528241795       1.68502714368      -1.70452342164    
    SKP     34     34       2.11645922721       1.55056188486      -1.37684484301    
    SKP     34     36       2.13550300439       1.44023786969      -1.46074645605    
    SKP     34     38       3.18307115437       1.64229366017      -1.89467591332    
    SKP     34     40       1.80628659988       1.57953616131      -1.59954508938    
    SKP     34     42       3.19680575169       1.55465627327      -1.70443916921    
    SKP     34     44       5.08712981592       1.41107460739      -1.84123830641    
    SKP     34     46       2.40257267482       1.29604566747      -1.88277911377    
    SKP     34     48       2.31135179988       1.36422949341      -1.82406442596    
    SKP     34     50       2.32530154801       1.48983504174      -1.88758755457    
    SKP     34     52       2.35614969797       1.40775327153       -2.0600006077    
    SKP     34     54       2.69121050649       1.35198486588      -2.18316658489    
    SKP     34     56       3.18095245669       1.32491350799      -2.21688568574    
    SKP     34     58       4.27673467031       1.25834162528      -2.23425367828    
    SKP     34     60       4.85167813482        1.1467206084      -2.11994657735    
