    EDF      Z      N                 N-N                 P-P                 N-P
 UNEDF0      2      4      0.883776731484                 N/A                 N/A    
 UNEDF0      4      4      0.432868248865      0.333914204919     -0.220200209333    
 UNEDF0      4      6      0.448605358838      0.331439927507     -0.297383840013    
 UNEDF0      6      6      0.322259736836      0.299119340316     -0.299374240478    
 UNEDF0      6      8      0.487153162172      0.294199265723     -0.405458361555    
 UNEDF0      6     10       1.77472525035                 N/A                 N/A    
 UNEDF0      6     12       4.32600328127                 N/A                 N/A    
 UNEDF0      6     14       2.17826365159                 N/A                 N/A    
 UNEDF0      8      6                 N/A      0.451851903731                 N/A    
 UNEDF0      8      8      0.421845301102      0.395050452387     -0.414862877447    
 UNEDF0      8     10       1.23034637019       0.36083904098     -0.477865223131    
 UNEDF0      8     12       1.99094617228      0.349083211489     -0.542496901665    
 UNEDF0      8     14       1.30380306315      0.349334726946      -0.63604532459    
 UNEDF0      8     16      0.839140535481      0.343805830844     -0.790945727875    
 UNEDF0      8     18       2.05231241736                 N/A                 N/A    
 UNEDF0     10      8      0.383124037461      0.788907954164     -0.477959552434    
 UNEDF0     10     10       1.09239206279       0.70795282344     -0.539769181204    
 UNEDF0     10     12       1.47493277994      0.701970395802     -0.571428326531    
 UNEDF0     10     14      0.890480077846      0.670728486593     -0.635212025834    
 UNEDF0     10     16      0.714397721643      0.693879462729     -0.820832903251    
 UNEDF0     10     18       1.84240186562      0.768325622545     -0.989913033665    
 UNEDF0     10     20       1.23554718678      0.843973376016      -1.04747661574    
 UNEDF0     10     22      -10.4782811428                 N/A                 N/A    
 UNEDF0     12      8                 N/A       1.20062432465                 N/A    
 UNEDF0     12     10       1.12974595685      0.935285711079     -0.585584576639    
 UNEDF0     12     12       1.10127671009      0.748678815852     -0.575386325167    
 UNEDF0     12     14      0.733732777457      0.749119363368     -0.663163945235    
 UNEDF0     12     16      0.658775307059      0.756103646688     -0.788632027056    
 UNEDF0     12     18       1.60961843593      0.778589413987     -0.869693213545    
 UNEDF0     12     20       1.14720636608      0.801333258275     -0.933414633748    
 UNEDF0     12     22      -92.1765180322      0.820466874368     -0.991069964089    
 UNEDF0     12     24       2.13791588477      0.676746123429       -1.0817549852    
 UNEDF0     12     26       2.36773394247                 N/A                 N/A    
 UNEDF0     12     28        15.584213192                 N/A                 N/A    
 UNEDF0     12     30       13.1021245095                 N/A                 N/A    
 UNEDF0     12     32       5.16324236131                 N/A                 N/A    
 UNEDF0     14     10       1.12982924326      0.737175405543     -0.679623345945    
 UNEDF0     14     12       1.14837294215      0.623798213754     -0.679593209097    
 UNEDF0     14     14      0.628435578755      0.534334034112     -0.662818672861    
 UNEDF0     14     16      0.621005864935       0.51317124563     -0.781036892863    
 UNEDF0     14     18       1.42551065355      0.499008968189     -0.841731888613    
 UNEDF0     14     20       1.06229369924      0.491304403365     -0.902698979679    
 UNEDF0     14     22       2.76486929426      0.488093269743     -0.963286734338    
 UNEDF0     14     24       3.19691561581      0.542142351401      -1.50244221983    
 UNEDF0     14     26       4.28938324031      0.578940489694      -1.21872931017    
 UNEDF0     14     28       2.58613109616       0.51224666521      -0.99035615931    
 UNEDF0     14     30       13.3888076263      0.567554927966      -1.45512274142    
 UNEDF0     14     32       2.13691651495      0.538961020587      -1.45167061884    
 UNEDF0     14     34                 N/A      0.537801098029      -2.41211314982    
 UNEDF0     16     12       1.16902971411                 N/A     -0.816383010988    
 UNEDF0     16     14      0.614105480907      0.567189076165     -0.806255088225    
 UNEDF0     16     16      0.594976287964      0.527582890856     -0.831137399064    
 UNEDF0     16     18       1.31950143958      0.545655024071     -0.882829149606    
 UNEDF0     16     20       1.00704883834      0.568501519534     -0.929054603326    
 UNEDF0     16     22        1.9358657361      0.579716278158     -0.975874670368    
 UNEDF0     16     24       4.08377038184      0.642591752463      -1.14963968855    
 UNEDF0     16     26       2.59030616771      0.623960034112      -1.06636239793    
 UNEDF0     16     28       3.40070411579      0.666330058932      -1.27413449636    
 UNEDF0     16     30       2.80290072196      0.628081722225      -1.13964302392    
 UNEDF0     16     32       1.53192082574      0.621334418183      -1.67958900457    
 UNEDF0     16     34       1.46993757175      0.652966451073      -2.43562342826    
 UNEDF0     16     36       7.15269209449                 N/A                 N/A    
 UNEDF0     18     16      0.642651012545      0.929863856308     -0.933868782564    
 UNEDF0     18     18       1.24478977679      0.887879665669     -0.836470795877    
 UNEDF0     18     20      0.922285672915      0.872509177161     -0.869555765698    
 UNEDF0     18     22       1.86326087422      0.851088457028     -0.944509812394    
 UNEDF0     18     24       2.54975528724      0.823496665662     -0.962814653846    
 UNEDF0     18     26       2.56017695943      0.887069410964      -1.12195826596    
 UNEDF0     18     28       2.53333713334      0.875280801022      -1.12770656624    
 UNEDF0     18     30        1.7706785373      0.816719889579      -1.27214162498    
 UNEDF0     18     32       1.34711022965      0.819676666244      -1.72982248562    
 UNEDF0     18     34       1.95810439829       0.87280579351      -2.04691739358    
 UNEDF0     18     36       6.66373462343      0.893125878054       -1.5194277835    
 UNEDF0     18     38       3.82593159043      0.908384227452      -1.54348617962    
 UNEDF0     20     18       1.22275772217      0.870207279023      -0.87363216504    
 UNEDF0     20     20      0.844216515365      0.814917720814     -0.884821462937    
 UNEDF0     20     22       1.76259905807      0.772274868844      -0.97096428405    
 UNEDF0     20     24       2.42058806977      0.739582198922      -1.00074705768    
 UNEDF0     20     26       2.01065344729      0.712351172031      -1.02215495307    
 UNEDF0     20     28       1.77887751939      0.702044934035      -1.14735148252    
 UNEDF0     20     30       1.45687433439      0.683985405119      -1.42013884698    
 UNEDF0     20     32       1.31227051669      0.694899265665      -1.71670651572    
 UNEDF0     20     34       2.56877411035      0.704733306013      -1.77682224226    
 UNEDF0     20     36       5.96713896572      0.682484612531      -1.46154011982    
 UNEDF0     20     38       3.41793578895      0.664344340301      -1.49994468954    
 UNEDF0     20     40       2.03020127415      0.653697418827      -1.57358578895    
 UNEDF0     20     42        3.7566375089                 N/A                 N/A    
 UNEDF0     20     44       8.89885560717                 N/A                 N/A    
 UNEDF0     20     46       28.3609498082                 N/A                 N/A    
 UNEDF0     20     48       12.5702361947                 N/A                 N/A    
 UNEDF0     20     50       69.7325755727                 N/A                 N/A    
 UNEDF0     22     18                 N/A       1.14398020457                 N/A    
 UNEDF0     22     20       0.78456632508       1.09258034153     -0.950384917771    
 UNEDF0     22     22       1.70219864488       1.05662953142      -1.03934330133    
 UNEDF0     22     24       2.33372637175       1.31186854028      -1.06155478498    
 UNEDF0     22     26         1.745126081       1.15935240893      -1.07917007505    
 UNEDF0     22     28       1.33946047202      0.987247721185      -1.17513749843    
 UNEDF0     22     30       1.33783649096       1.00265955447      -1.50026873564    
 UNEDF0     22     32       1.27449053038       1.02533868218        -1.651601992    
 UNEDF0     22     34       2.99201878988       1.08383431316      -1.71560869368    
 UNEDF0     22     36       5.59115256019       1.09024562689      -1.56751666564    
 UNEDF0     22     38        3.2437885504        1.1145187522      -1.59570500042    
 UNEDF0     22     40       2.10057776391       1.14275494791      -1.63672818037    
 UNEDF0     22     42       3.24037769842        1.1487205407      -1.59368264201    
 UNEDF0     22     44      -15.9193208818       1.51920272241      -1.70920595419    
 UNEDF0     22     46       3.38109410515       1.18755713263       -1.3153433819    
 UNEDF0     22     48       4.62137640764       1.20533880718      -2.00097947946    
 UNEDF0     22     50       7.00464057438       1.30361015278      -2.75540921271    
 UNEDF0     22     52       27.1123944311       1.51092664376      -4.26438323159    
 UNEDF0     22     54       24.1870139922                 N/A                 N/A    
 UNEDF0     22     56       12.6947453275                 N/A                 N/A    
 UNEDF0     24     20      0.738189203429       1.35519488549     -0.989039709203    
 UNEDF0     24     22       2.54886167837        1.2783698228       -1.0741080875    
 UNEDF0     24     24       1.37308176187      0.969978439804     -0.887982357567    
 UNEDF0     24     26       1.43105379582       1.00644147706       -1.2101278016    
 UNEDF0     24     28       1.30710368371       1.23484154822      -1.42735257143    
 UNEDF0     24     30       1.24679029424       1.22267885881      -1.46602469445    
 UNEDF0     24     32       1.28759910087        1.2378202357      -1.59354232907    
 UNEDF0     24     34       3.06404700861       1.27794833063      -1.57351274526    
 UNEDF0     24     36       5.69563657282       1.34709344383      -1.55429743813    
 UNEDF0     24     38       3.10756848304       1.34462233424        -1.546411282    
 UNEDF0     24     40       2.09563426991       1.35403930234      -1.57941703717    
 UNEDF0     24     42        6.9799622733       1.36782299003      -1.58222340362    
 UNEDF0     24     44       6.32467064278       0.92750031477      -1.25413747792    
 UNEDF0     24     46       2.77764275348       0.94703112844      -1.73480699405    
 UNEDF0     24     48       3.29924933829      0.955766185184      -1.95244717288    
 UNEDF0     24     50       4.37691832123       1.02166935153       -2.3503737388    
 UNEDF0     24     52       6.94608449217       1.16355851099      -2.94329304456    
 UNEDF0     24     54       20.6035819327        1.4288194308      -4.29787727841    
 UNEDF0     24     56       13.6016485198        1.6497866001      -4.43493889209    
 UNEDF0     24     58        6.5021725384       1.69350519589      -4.33398559817    
 UNEDF0     26     22       2.49036229791       1.20846103997      -1.12782802878    
 UNEDF0     26     24       1.34766757488      0.975543847403      -1.13967387093    
 UNEDF0     26     26       1.47466796929      0.949044383484       -1.1577960195    
 UNEDF0     26     28       1.02525589746      0.971146273081      -1.13073949232    
 UNEDF0     26     30       1.19248744832       1.00069222885      -1.48354525777    
 UNEDF0     26     32       1.32751307351       1.03911677153      -1.56853579928    
 UNEDF0     26     34       3.29260111372       1.05210137523      -1.51311511439    
 UNEDF0     26     36       4.67679817044        1.0273780849       -1.4629662885    
 UNEDF0     26     38       3.04162154928        1.0261004029      -1.54968063019    
 UNEDF0     26     40        2.1006836675       1.03663010213      -1.56661910672    
 UNEDF0     26     42       3.00798243338       1.05134119596      -1.56380907924    
 UNEDF0     26     44       102.822476993       1.30132126401      -2.22082680271    
 UNEDF0     26     46       2.28907595726        1.0334600786       -1.6703742014    
 UNEDF0     26     48       3.01229770538       1.14714451354      -1.91633933195    
 UNEDF0     26     50       3.81223957638       1.26104279412      -2.02858273068    
 UNEDF0     26     52       4.74265747698       1.21797784011      -2.17811182753    
 UNEDF0     26     54       8.22771010486       1.17266769588      -2.54954401405    
 UNEDF0     26     56        6.8324678874       1.19283808088      -3.13261862639    
 UNEDF0     26     58       5.52399970723       1.22383928787      -4.05873393883    
 UNEDF0     26     60       3.45568473097       1.24141329938      -4.56311067255    
 UNEDF0     28     24       1.70413346092       1.06234222558      -1.47086185886    
 UNEDF0     28     26        1.6533052051      0.930560851352      -1.19747894757    
 UNEDF0     28     28      0.847989417092      0.765674359078      -1.10088814151    
 UNEDF0     28     30       1.15133458387      0.786560357791      -1.41951945718    
 UNEDF0     28     32        1.3244809442      0.812282359095      -1.48260221894    
 UNEDF0     28     34       3.16649593976      0.772666758872      -1.48640257504    
 UNEDF0     28     36       4.34010353317      0.731653736821      -1.51361496662    
 UNEDF0     28     38       3.08035648966      0.696794553436      -1.55259673745    
 UNEDF0     28     40       2.12183806344      0.656238597854      -1.54269445471    
 UNEDF0     28     42       2.83758581037      0.613757591222      -1.53148151693    
 UNEDF0     28     44       4.11133917623      0.577512667379      -1.57978132667    
 UNEDF0     28     46       4.57392724254      0.626347724142      -2.50316180626    
 UNEDF0     28     48       2.64547465106       0.58630359621      -1.61885185361    
 UNEDF0     28     50       2.48182990282      0.568751458314      -1.74919897619    
 UNEDF0     28     52       3.55336352508      0.581528305818      -2.31978328585    
 UNEDF0     28     54       6.73843095635      0.609652568146      -2.77389817297    
 UNEDF0     28     56       4.70846924134      0.642799210578      -2.99722906173    
 UNEDF0     28     58       4.58861884867      0.668953931651      -3.73666594113    
 UNEDF0     28     60       3.86391298468      0.669851699858      -4.33433311951    
 UNEDF0     28     62       4.21444353014        0.6706443702      -3.82717620415    
