    EDF      Z      N                 N-N                 P-P                 N-P
 UNEDF1      4      4      0.544531811548      0.419788934322     -0.223396306332    
 UNEDF1      4      6      0.458611777563                 N/A                 N/A    
 UNEDF1      6      4                 N/A       0.41585609383                 N/A    
 UNEDF1      6      6       0.32407780622      0.291572242818      -0.28694805989    
 UNEDF1      6      8      0.355006478868      0.307522129677     -0.387632056551    
 UNEDF1      6     10       2.87072961028                 N/A                 N/A    
 UNEDF1      6     12       6.87830050951                 N/A                 N/A    
 UNEDF1      6     14       2.50358168655                 N/A                 N/A    
 UNEDF1      8      6      0.358683016395                 N/A     -0.406512740617    
 UNEDF1      8      8      0.300567132608      0.280247556679     -0.362627698211    
 UNEDF1      8     10        1.3695534571      0.284061171437     -0.444947630776    
 UNEDF1      8     12       2.10754596294      0.292937882815     -0.536010814554    
 UNEDF1      8     14       1.41851164793      0.269269479308     -0.650815724294    
 UNEDF1      8     16      0.750623815305       0.26486738719     -0.812349829518    
 UNEDF1     10      8                 N/A      0.910666776554                 N/A    
 UNEDF1     10     10      0.949472627298      0.673863188589     -0.435661366084    
 UNEDF1     10     12      0.826227433147      0.616869087117     -0.507019816109    
 UNEDF1     10     14       1.29506083224      0.751673836695     -0.808751009422    
 UNEDF1     10     16      0.730575726548      0.758411590349     -0.855231353979    
 UNEDF1     10     18       1.71537473219      0.855680682217     -0.882833825955    
 UNEDF1     10     20       1.36875113777                 N/A                 N/A    
 UNEDF1     10     22      -49.5601536365                 N/A                 N/A    
 UNEDF1     12      8                 N/A       1.34847172642                 N/A    
 UNEDF1     12     10      0.886924253121      0.671692832181     -0.523703748122    
 UNEDF1     12     12      0.658622037559      0.526598697695     -0.544899515761    
 UNEDF1     12     14      0.894237622186      0.654229758949     -0.654793192574    
 UNEDF1     12     16       0.78909424409      0.783208633465      -0.84667319875    
 UNEDF1     12     18        1.3599253129      0.783306025327     -0.779665694943    
 UNEDF1     12     20        1.1254971532      0.834453761352     -0.884776056544    
 UNEDF1     12     22       54.5390090262      0.740560537677       -1.0284613832    
 UNEDF1     12     24       1.99687887831      0.647215468709      -1.07087792982    
 UNEDF1     12     26        2.5037321257                 N/A                 N/A    
 UNEDF1     12     28       6.78626324594                 N/A                 N/A    
 UNEDF1     12     30       65.4107796964                 N/A                 N/A    
 UNEDF1     12     32       14.7640701589                 N/A                 N/A    
 UNEDF1     14     10       1.15636915119      0.937400401207     -0.860377137715    
 UNEDF1     14     12      0.956338600288      0.751259063236      -0.70175574023    
 UNEDF1     14     14       0.63166176155      0.542936062492     -0.526963677448    
 UNEDF1     14     16      0.705554353173       0.52093365376     -0.697929609262    
 UNEDF1     14     18       1.23515765089       0.51607369584     -0.779569206159    
 UNEDF1     14     20      0.783336398137       0.51355258862     -0.827485082513    
 UNEDF1     14     22       10.0340404823      0.586775259208      -1.21893765926    
 UNEDF1     14     24       2.29302970563      0.667135217968       -1.3530678276    
 UNEDF1     14     26       6.78668926634      0.733242386836       -1.2441857644    
 UNEDF1     14     28       2.02031221905      0.574513297469     -0.947153566744    
 UNEDF1     14     30       5.95400235481      0.599482376942      -1.41207336851    
 UNEDF1     14     32        4.1701113524      0.643051149092      -1.80014032094    
 UNEDF1     14     34                 N/A      0.642554075343      -2.60795295253    
 UNEDF1     16     12       1.22039325952                 N/A     -0.861565024251    
 UNEDF1     16     14      0.619181819336      0.626180546011     -0.721019391636    
 UNEDF1     16     16      0.663279739225      0.574885687574     -0.737998393377    
 UNEDF1     16     18       1.14243020037      0.598242930601     -0.790712449708    
 UNEDF1     16     20      0.708123772954      0.634381108892     -0.834050269044    
 UNEDF1     16     22       4.57262529279      0.659679451859     -0.940400474244    
 UNEDF1     16     24       2.26464916621      0.619308842043      -1.05893530938    
 UNEDF1     16     26       2.45561476316      0.627984101954      -1.06509940839    
 UNEDF1     16     28       2.54263199279      0.744054123985      -1.47276109937    
 UNEDF1     16     30       3.57016626264      0.791220459537      -1.28094031266    
 UNEDF1     16     32       1.90080099754      0.765925506085      -1.49581526981    
 UNEDF1     16     34                 N/A      0.809181294642      -2.61616081017    
