    EDF      Z      N                 N-N                 P-P                 N-P
 SV-MIN      2      4       1.57161598663                 N/A                 N/A    
 SV-MIN      4      4      0.630483532007      0.495575808913     -0.237028089666    
 SV-MIN      4      6      0.530410558989      0.471292568176     -0.305893395693    
 SV-MIN      6      6      0.377198679314      0.330670444246     -0.315941466472    
 SV-MIN      6      8      0.386078473538      0.333747179836     -0.416779110197    
 SV-MIN      6     10       2.63986848175                 N/A                 N/A    
 SV-MIN      6     12       5.39948056997                 N/A                 N/A    
 SV-MIN      6     14       2.04244194359                 N/A                 N/A    
 SV-MIN      8      8      0.342204617316      0.303654036025     -0.411992016419    
 SV-MIN      8     10        1.4222105917      0.294704499062     -0.477292738313    
 SV-MIN      8     12       2.39056015606      0.304134495573     -0.564708141186    
 SV-MIN      8     14       1.31798626197      0.281169363702     -0.650314614081    
 SV-MIN      8     16      0.883305612259      0.279704553674     -0.788274262688    
 SV-MIN      8     18       1.59973380429                 N/A                 N/A    
 SV-MIN     10      8                 N/A       1.01064921073                 N/A    
 SV-MIN     10     10       1.21619546694      0.895252743278     -0.501217394399    
 SV-MIN     10     12      0.975431085672      0.739216175824     -0.533038598524    
 SV-MIN     10     14       1.28546931199       0.80270205566     -0.787922099718    
 SV-MIN     10     16      0.801272099585      0.778354430306     -0.800020320516    
 SV-MIN     10     18       1.48337965804      0.829867943114     -0.881784643941    
 SV-MIN     10     20       1.14444006696      0.848919495266      -0.92163222911    
 SV-MIN     10     22      -8.83698632256                 N/A                 N/A    
 SV-MIN     12     10      0.952759333945      0.717064724234     -0.535445917352    
 SV-MIN     12     12      0.775620540061      0.611763539933      -0.60966111682    
 SV-MIN     12     14       1.06035515005      0.775652726313     -0.726663386993    
 SV-MIN     12     16      0.803084003189       0.84311522645     -0.825764683902    
 SV-MIN     12     18       1.28886533129      0.816277553959     -0.823849113683    
 SV-MIN     12     20       1.06329474637       0.83643791205     -0.899220331012    
 SV-MIN     12     22       -22.516056763      0.781527350624      -0.95657965379    
 SV-MIN     12     24       1.88694732492      0.627791120083      -1.02391533449    
 SV-MIN     12     26       2.16579249867                 N/A                 N/A    
 SV-MIN     12     28        7.3607484409                 N/A                 N/A    
 SV-MIN     12     30       13.5378450458                 N/A                 N/A    
 SV-MIN     14     12       1.03309333714      0.824562734382     -0.714177949934    
 SV-MIN     14     14      0.740490071139      0.600341624401     -0.580877034286    
