     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-P     18     16     -0.933868782564     -0.824726113612     -0.947422099994     -0.881092395974      -0.88323266689     -0.883821840077    
             N-P     18     18     -0.836470795877     -0.750414557142      -0.80770127007     -0.829874141288     -0.808581148294     -0.832645880079    
             N-P     18     20     -0.869555765698     -0.772683624883     -0.864957064613     -0.861282859287     -0.838988289192     -0.850545720766    
             N-P     18     22     -0.944509812394     -0.889815483412      -1.02625546321     -0.973102947967      -0.93180470771     -0.941747058512    
             N-P     18     24     -0.962814653846      -1.18269119608      -1.06761442358      -1.03032504179      -1.15704348777      -1.07666616781    
             N-P     18     26      -1.12195826596      -1.04038163279      -1.18876345123      -1.13582702263      -1.11709782454      -1.14753679792    
             N-P     18     28      -1.12770656624      -1.07827697809      -1.09592373905      -1.18211868176      -1.00817656398      -1.11590080535    
             N-P     18     30      -1.27214162498      -1.16171745986      -1.41347950596      -1.20052126633      -1.35989988417      -1.17163312183    
             N-P     18     32      -1.72982248562      -1.59542559573       -1.7001034513      -1.49707378216      -1.28764759661      -1.74352411555    
             N-P     18     34      -2.04691739358       -2.2122303153      -1.91384629518       -1.5955452377      -1.63030675037      -1.87929742466    
             N-P     18     36       -1.5194277835                 N/A      -1.45138670929      -1.40515206029                 N/A      -1.47744913974    
             N-P     18     38      -1.54348617962                 N/A                 N/A                 N/A                 N/A                 N/A    
             N-P     20     16                 N/A     -0.891808073984                 N/A     -0.928509848472     -0.888918124418                 N/A    
             N-P     20     18      -0.87363216504     -0.788859256267     -0.867143248596     -0.861807451532     -0.845990049465     -0.862275614328    
             N-P     20     20     -0.884821462937     -0.796579170411     -0.882886633163     -0.865629988193     -0.868276016263     -0.878394417979    
             N-P     20     22      -0.97096428405     -0.891827360951      -1.04281892727      -1.00656278939     -0.961298599051     -0.972588563915    
             N-P     20     24      -1.00074705768     -0.946041572851      -1.07701636311        -1.028065679      -1.01484489745      -1.00338416394    
             N-P     20     26      -1.02215495307     -0.998548360321      -1.08374328181      -1.08569233922      -1.02198911786      -1.04680582903    
             N-P     20     28      -1.14735148252      -1.08988915282      -1.12896697828      -1.15411837042      -1.08536386824      -1.15206643276    
             N-P     20     30      -1.42013884698      -1.37822012518      -1.57817136495      -1.29613721946      -1.41112986346      -1.41908635673    
             N-P     20     32      -1.71670651572      -1.67582505057      -1.71529087474      -1.46755439032      -1.50770266445      -1.68908790098    
             N-P     20     34      -1.77682224226      -1.83446099179      -1.72808272678      -1.48560320504       -1.5306153686      -1.64658722158    
             N-P     20     36      -1.46154011982      -1.38729398251      -1.39729595287      -1.35104873469       -1.3406142091      -1.43953243986    
             N-P     20     38      -1.49994468954      -1.39845568539      -1.36676439032      -1.33385664976      -1.31325109755      -1.41248174809    
             N-P     20     40      -1.57358578895      -1.50467238392       -1.4368378647      -1.36822582841      -1.41990997771        -1.472359939    
             N-P     20     42                 N/A                 N/A      -1.50093470709                 N/A                 N/A                 N/A    
             N-P     20     44                 N/A                 N/A      -1.83008485646                 N/A                 N/A                 N/A    
             N-P     20     46                 N/A                 N/A      -1.81246595962                 N/A                 N/A                 N/A    
             N-P     20     48                 N/A                 N/A      -1.82510144142                 N/A                 N/A                 N/A    
             N-P     20     50                 N/A                 N/A      -2.56651278284                 N/A                 N/A                 N/A    
             N-P     22     20     -0.950384917771     -0.890639688597      -1.03024649162      -1.00242009271     -0.953374732042     -0.957075178255    
             N-P     22     22      -1.03934330133     -0.985767003125      -1.21336988003        -1.131882411      -1.06099079033      -1.04877264759    
             N-P     22     24      -1.06155478498     -0.978756577856      -1.22322213836      -1.16203098614      -1.07927693842      -1.04898057445    
             N-P     22     26      -1.07917007505      -1.08609649859       -1.2474481888      -1.17236627184      -1.12074264891      -1.10595887879    
             N-P     22     28      -1.17513749843      -1.12427291163      -1.29183194042       -1.2492968801      -1.17512576049      -1.20379568818    
             N-P     22     30      -1.50026873564      -1.52946709543      -1.73181614693      -1.42460847307      -1.44277919671      -1.47367102505    
             N-P     22     32        -1.651601992      -1.71726148311       -1.7393073904      -1.55899834356      -1.50026254595      -1.64600044524    
             N-P     22     34      -1.71560869368       -1.6972864209      -1.76337919883      -1.56010803748       -1.4744836911      -1.60904670419    
             N-P     22     36      -1.56751666564      -1.48538805206      -1.61989490122      -1.46316321988      -1.45214650851      -1.51834752166    
             N-P     22     38      -1.59570500042      -1.45782635903      -1.59577184292      -1.43850740472      -1.46489346196       -1.5196303955    
             N-P     22     40      -1.63672818037      -1.51213354861      -1.60949537894      -1.58691745252      -1.47016664339      -1.54906848703    
             N-P     22     42      -1.59368264201      -1.57694444149      -1.69409907176      -1.60478289494      -1.55798185263      -1.56435216852    
             N-P     22     44      -1.70920595419      -1.33131151491      -1.77692880068      -1.65973588623      -1.57845285576      -1.54349451789    
             N-P     22     46       -1.3153433819      -1.43346003926      -1.51961365342      -1.48841806091      -1.61669267521      -1.37837020129    
