LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
 O         8.000000     26.000000    34.000000       100.370980     418.045425       518.416405        -17.691339           15.050470         -2.594190          -1.192823          -8.126625       -173.407464      -1.591172      -1.659450       -176.658086       -28.429404          0.384268          -0.000006            -0.000012             -0.000012             -0.000005           -0.000060             -0.000066             2.361871          1.609727        2.892254        3.851971          3.648935           3.000856   
 O         8.000000     28.000000    36.000000        99.005419     448.449613       547.455032        -20.517542           14.937419         -2.575248          -1.139462          -7.758830       -171.838599      -1.562280      -1.737758       -175.138637       -29.701938          0.479366          -0.000002            -0.000004             -0.000004             -0.000002           -0.000021             -0.000023             2.350012          1.552315        2.913770        3.962893          3.755170           3.021598   
 O         8.000000     30.000000    38.000000        97.729670     476.707175       574.436845        -22.947920           14.831702         -2.557570          -1.088619          -6.715836       -170.318787      -1.536638      -1.840173       -173.695598       -30.875079          0.647712          -0.000001            -0.000001             -0.000001             -0.000001           -0.000007             -0.000008             2.339572          1.484189        2.934160        4.068596          3.857592           3.041265   
 O         8.000000     32.000000    40.000000        96.589213     502.054046       598.643260        -24.657142           14.733675         -2.541162          -1.079638          -5.582854       -168.589197      -1.528728      -2.100969       -172.218894       -31.894428          1.084224          -0.000001             0.000000              0.000000              0.000000           -0.000002             -0.000002             2.336987          1.496172        2.953282        4.182168          3.966963           3.059718   
 O         8.000000     34.000000    42.000000        95.616721     523.035285       618.652006        -25.419323           14.656342         -2.528037          -1.029373          -4.675541       -165.577270      -1.499100      -2.076313       -169.152683       -32.613739          1.708658           0.000000             0.000000              0.000000              0.000000            0.000000             -0.000001             2.321755          1.443530        2.968956        4.318817          4.096142           3.074850   
 O         8.000000     36.000000    44.000000        95.131372     538.591103       633.722474        -25.948605           14.618902         -2.521481          -0.989489          -2.797184       -161.031122      -1.473672      -1.148425       -163.653219       -33.020671          2.443596          -0.000001             0.000000              0.000000              0.000000           -0.000002             -0.000002             2.307411          0.928881        2.976967        4.528416          4.288289           3.082585   
 O         8.000000     38.000000    46.000000        94.765824     551.917721       646.683546        -25.396071           14.593760         -2.516546          -0.963822          -3.709247       -155.038522      -1.456046      -1.019885       -157.514453       -33.114952          2.650088          -0.000001            -0.000001             -0.000001             -0.000001           -0.000011             -0.000011             2.293026          0.856926        2.982947        4.744347          4.487953           3.088361   
 O         8.000000     40.000000    48.000000        94.237668     565.441367       659.679035        -24.467475           14.556277         -2.509436          -0.941776          -4.682482       -149.139818      -1.440841      -1.048927       -151.629585       -33.225704          2.671101           0.000000             0.000000              0.000000              0.000000           -0.000006             -0.000006             2.279817          0.877412        2.991513        4.921327          4.655578           3.096636   
NE        10.000000      2.000000    12.000000        99.517712      22.672795       122.190507         -3.417985           19.623236         -2.855973          -3.037219          -2.227743        -11.189520      -1.655746      -3.164370        -16.009637         4.256927        -27.614627           0.000001             0.000000              0.000001              0.000001            0.000000              0.000001             1.573690          4.774023        3.732071        2.095017          3.512617           3.816851   
NE        10.000000      4.000000    14.000000       133.401453      55.321440       188.722893         -9.428536           22.769622         -3.326842          -4.302651          -2.828966        -57.693553      -1.711899      -2.014010        -61.419461         2.084235        -23.583254          -0.000001            -0.000001             -0.000001             -0.000001            0.000000             -0.000002             1.929512          2.578369        3.120264        2.368801          2.925325           3.221187   
