LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
 O         8.000000      6.000000    14.000000       116.584250      89.477204       206.061453        -11.959992           16.488956         -2.810523          -3.277052          -2.807685        -99.112328      -2.189114      -2.604993       -103.906436        -3.981592        -16.405598           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.566302          3.074793        2.681407        2.476826          2.595705           2.798204   
 O         8.000000      8.000000    16.000000       116.976275     119.296638       236.272913         -8.295669           16.458530         -2.814398          -2.924818          -3.102642       -124.563755      -2.113715      -2.178966       -128.856436        -7.940776        -11.240736           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.559389          2.627430        2.668646        2.643095          2.655901           2.785977   
 O         8.000000     10.000000    18.000000       116.191490     159.218646       275.410135        -11.282620           16.376109         -2.805959          -2.403376          -4.350531       -141.093888      -1.992160      -1.660209       -144.746257       -11.445364         -8.320112           0.000000            -0.000001              0.000000              0.000000           -0.000001             -0.000001             2.499344          2.068974        2.673588        2.792956          2.740546           2.790712   
 O         8.000000     12.000000    20.000000       115.347689     200.977015       316.324705        -17.059788           16.288508         -2.794816          -2.054117          -4.986538       -154.640650      -1.889948      -1.930015       -158.460613       -14.603503         -7.062134          -0.000001            -0.000001             -0.000001              0.000000           -0.000001             -0.000002             2.457570          2.097429        2.683213        2.912142          2.822799           2.799934   
 O         8.000000     14.000000    22.000000       114.009284     237.833478       351.842762        -21.611182           16.175586         -2.778494          -1.719184          -3.743416       -166.627959      -1.767544      -2.090943       -170.486446       -17.423602         -5.724985          -0.000001            -0.000001             -0.000001              0.000000           -0.000001             -0.000002             2.396408          2.035074        2.699206        3.025360          2.910990           2.815264   
 O         8.000000     16.000000    24.000000       111.902462     268.518479       380.420940        -22.061331           16.007308         -2.751741          -1.498328          -3.143617       -175.077629      -1.675176      -2.155772       -178.908577       -19.808948         -3.282775           0.000000             0.000000              0.000000              0.000000           -0.000001             -0.000001             2.348128          2.142164        2.726057        3.170450          3.029570           2.841018   
 O         8.000000     18.000000    26.000000       108.745791     292.977894       401.723685        -16.138749           15.747938         -2.709185          -1.441788          -3.625880       -177.622715      -1.672907      -1.689115       -180.984737       -21.934349         -1.337797           0.000000             0.000000              0.000000              0.000000           -0.000001             -0.000001             2.363978          1.675568        2.768815        3.328065          3.166525           2.882071   
 O         8.000000     20.000000    28.000000       105.719924     321.454876       427.174800        -12.049251           15.499516         -2.668586          -1.356722          -5.558919       -177.892072      -1.660098      -1.812271       -181.364441       -23.885996         -0.532236          -0.000001             0.000000              0.000000              0.000000           -0.000001             -0.000001             2.378885          1.759038        2.811099        3.462269          3.289401           2.922717   
NE        10.000000      6.000000    16.000000       150.814864      87.799098       238.613962        -13.617169           24.073508         -3.537947          -4.706021          -2.526324       -100.769981      -1.762745      -2.431276       -104.964003        -0.997215        -20.074595          -0.000001            -0.000001             -0.000001             -0.000001            0.000000             -0.000001             2.110146          2.889360        2.879415        2.509725          2.746619           2.988483   
NE        10.000000      8.000000    18.000000       154.856245     117.934613       272.790858        -11.013428           24.282157         -3.583717          -4.106361          -2.619444       -133.812669      -1.589670      -2.081654       -137.483993        -4.329741        -14.721793          -0.000001             0.000000             -0.000001             -0.000001            0.000000             -0.000001             1.984471          2.583105        2.833713        2.655510          2.755935           2.944475   
NE        10.000000     10.000000    20.000000       156.154640     159.462922       315.617562        -15.334560           24.285602         -3.592667          -3.668969          -3.889987       -156.706019      -1.426820      -1.489781       -159.622620        -7.402130        -11.397428          -0.000003            -0.000003             -0.000003             -0.000003           -0.000003             -0.000006             1.843837          1.919997        2.823551        2.793592          2.808611           2.934696   
NE        10.000000     12.000000    22.000000       154.991916     200.782222       355.774138        -21.193129           24.148982         -3.586785          -2.825698          -3.705433       -176.843191      -1.421850      -1.822711       -180.087753       -10.568037         -9.951879           0.226455             0.208895              0.216650              0.232078            0.270673              0.502751             1.745064          1.959470        2.850167        2.925586          2.891548           2.960313   
NE        10.000000     14.000000    24.000000       155.896722     241.606211       397.502933        -27.413651           24.117130         -3.577624          -2.994446          -3.090054       -193.852838      -1.150783      -1.929278       -196.932899       -12.899090         -8.368815          -0.000009            -0.000006             -0.000007             -0.000009           -0.000009             -0.000019             1.584432          1.947746        2.833736        2.999220          2.931404           2.944497   
NE        10.000000     16.000000    26.000000       153.678874     274.354019       428.032892        -27.586184           23.892343         -3.547273          -2.767844          -2.876949       -206.926119      -1.061214      -1.979324       -209.966657       -15.203405         -5.476673          -0.000003            -0.000001             -0.000002             -0.000003           -0.000002             -0.000006             1.488828          2.059654        2.857966        3.128594          3.027371           2.967822   
NE        10.000000     18.000000    28.000000       149.836633     301.695278       451.531911        -20.840565           23.529677         -3.496669          -2.708467          -3.731370       -213.669330      -1.023278      -1.613802       -216.306409       -17.318372         -3.434145          -0.000003            -0.000001             -0.000002             -0.000003           -0.000003             -0.000006             1.442042          1.672681        2.899246        3.265280          3.139457           3.007595   
NE        10.000000     20.000000    30.000000       146.175067     333.283757       479.458824        -16.377381           23.182229         -3.448702          -2.550008          -5.249072       -217.997533      -0.969583      -1.715929       -220.683045       -19.321232         -2.460863          -0.000003            -0.000001             -0.000002             -0.000004           -0.000003             -0.000007             1.375613          1.744838        2.940006        3.378750          3.239112           3.046906   
NE        10.000000     22.000000    32.000000       141.544528     371.778352       513.322880        -20.045528           22.850288         -3.418524          -1.574731          -5.491641       -221.399210      -1.115334      -1.731075       -224.245619       -21.769584         -2.167610           0.319217             0.233006              0.254553              0.366186            0.802142              1.168328             1.375129          1.664817        3.015456        3.521888          3.371809           3.119771   
NE        10.000000     24.000000    34.000000       138.877067     407.171090       546.048156        -21.862901           22.596410         -3.386825          -1.408263          -5.261083       -224.319721      -1.096466      -1.790473       -227.206660       -23.701547         -1.544241           0.345887             0.259119              0.278932              0.406789            1.029834              1.436623             1.349780          1.629223        3.053253        3.623040          3.465195           3.156320   
NE        10.000000     26.000000    36.000000       137.037071     442.438646       579.475717        -24.356683           22.409290         -3.359016          -1.384476          -5.098778       -225.806710      -1.041891      -1.755882       -228.604484       -25.223241         -0.941381           0.336019             0.246075              0.264823              0.400584            1.114038              1.514622             1.288242          1.543998        3.074042        3.715131          3.548687           3.176434   
NE        10.000000     28.000000    38.000000       135.812203     477.486082       613.298285        -27.730174           22.277718         -3.335477          -1.460076          -5.262872       -226.171462      -0.987151      -1.716401       -228.875014       -26.353968         -0.517247           0.299774             0.200176              0.219099              0.359458            1.023275              1.382733             1.231197          1.473094        3.082992        3.804140          3.628288           3.185097   
NE        10.000000     32.000000    42.000000       134.687030     538.520494       673.207524        -33.478538           22.084087         -3.292625          -2.117100          -4.167657       -225.928323      -0.790780      -1.985534       -228.704638       -27.961682          0.108119          -0.000004            -0.000001             -0.000002             -0.000005           -0.000008             -0.000013             1.154302          1.466970        3.080640        3.996355          3.798404           3.182820   
MG        12.000000      8.000000    20.000000       193.389511     116.397928       309.787438        -16.119855           33.379256         -4.363727          -4.561888          -2.152438       -138.756614      -1.804039      -1.954618       -142.515271        -2.470961        -17.790592          -0.000002            -0.000001             -0.000002             -0.000003           -0.000001             -0.000003             1.965336          2.518417        2.971143        2.671546          2.855079           3.076961   
MG        12.000000     10.000000    22.000000       194.868392     157.168114       352.036506        -20.490948           33.423905         -4.394418          -3.524638          -2.872645       -168.286451      -1.784132      -1.483097       -171.553681        -5.298799        -14.550272           0.224987             0.237352              0.230309              0.301036            0.240005              0.541041             1.906402          1.800525        2.972931        2.831122          2.909329           3.078688   
MG        12.000000     12.000000    24.000000       194.997947     199.397859       394.395805        -26.978733           33.361084         -4.404085          -2.633377          -2.768366       -194.592340      -1.667617      -1.719858       -197.979815        -7.979156        -12.623749           0.290550             0.288447              0.289511              0.391241            0.379603              0.770844             1.813582          1.868583        2.982401        2.948398          2.965448           3.087834   
MG        12.000000     14.000000    26.000000       198.013330     242.883092       440.896423        -34.564482           33.460596         -4.404503          -3.002328          -2.717450       -216.261750      -1.454037      -1.849004       -219.564791       -10.676414        -10.813463           0.112602             0.079341              0.094413              0.147909            0.125784              0.273693             1.640365          1.909674        2.945631        2.996010          2.972864           3.052334   
MG        12.000000     16.000000    28.000000       196.190083     277.410147       473.600230        -34.884493           33.220883         -4.374730          -2.859876          -2.463607       -233.941259      -1.342947      -1.783532       -237.067737       -13.001744         -7.650949          -0.000005            -0.000002             -0.000003             -0.000006           -0.000004             -0.000010             1.545218          1.940389        2.959556        3.107759          3.045127           3.065774   
MG        12.000000     18.000000    30.000000       191.704487     306.499591       498.204078        -27.222218           32.752965         -4.317917          -2.819375          -3.471970       -245.002105      -1.317057      -1.514664       -247.833826       -15.165219         -5.554747          -0.000004            -0.000002             -0.000003             -0.000005           -0.000004             -0.000009             1.508857          1.611359        2.998483        3.231150          3.140152           3.103369   
MG        12.000000     20.000000    32.000000       187.514956     339.700383       527.215339        -22.247726           32.310037         -4.264908          -2.682529          -4.765093       -253.586101      -1.269443      -1.600370       -256.455914       -17.244932         -4.461488          -0.000004            -0.000002             -0.000002             -0.000005           -0.000004             -0.000010             1.455277          1.679971        3.036491        3.334637          3.226063           3.140108   
MG        12.000000     22.000000    34.000000       181.333123     383.245487       564.578611        -28.475482           31.845696         -4.236925          -1.457165          -4.778539       -261.559826      -1.274219      -1.640437       -264.474482       -18.796501         -4.127388           0.349213             0.288131              0.306730              0.514659            0.969952              1.484611             1.499231          1.605184        3.120103        3.482682          3.359185           3.221031   
MG        12.000000     24.000000    36.000000       178.476145     420.337045       598.813190        -29.409427           31.536298         -4.200257          -1.405327          -4.667145       -268.166615      -1.251925      -1.715756       -271.134296       -20.599429         -3.280578           0.351024             0.276391              0.297358              0.527017            1.062135              1.589152             1.485671          1.594376        3.149185        3.562602          3.430337           3.249210   
MG        12.000000     26.000000    38.000000       176.219343     458.047011       634.266354        -31.699389           31.289272         -4.167632          -1.386729          -4.588203       -273.027532      -1.224336      -1.732177       -275.984046       -22.304031         -2.453553           0.336488             0.257043              0.277624              0.511635            1.117807              1.629442             1.450252          1.550520        3.169199        3.641152          3.498998           3.268612   
MG        12.000000     28.000000    40.000000       174.776032     496.377063       671.153095        -35.582964           31.114177         -4.139358          -1.449600          -4.330478       -276.183388      -1.179903      -1.663923       -279.027214       -23.898972         -1.765114           0.301131             0.218944              0.238553              0.460381            1.068211              1.528593             1.370526          1.449662        3.177864        3.716448          3.563430           3.277014   
MG        12.000000     30.000000    42.000000       174.637684     533.092463       707.730147        -39.985486           31.001176         -4.110722          -1.959418          -3.842994       -278.221308      -1.078826      -1.729936       -281.030069       -25.471666         -1.444757          -0.164753            -0.129944             -0.137565             -0.250361           -0.704464             -0.954825             1.234784          1.413579        3.168258        3.784739          3.619332           3.267699   
MG        12.000000     32.000000    44.000000       173.806916     562.788819       736.595735        -42.356409           30.873608         -4.086234          -2.180539          -3.038124       -280.049501      -1.052242      -1.754349       -282.856091       -26.461515         -0.838506          -0.000003            -0.000001             -0.000002             -0.000005           -0.000007             -0.000012             1.220915          1.380013        3.170713        3.884954          3.703846           3.270080   
SI        14.000000      8.000000    22.000000       226.207153     114.614443       340.821596        -19.885161           43.499049         -5.125408          -3.540889          -1.828208       -141.026531      -1.989195      -1.844010       -144.859737        -0.643191        -20.457454          -0.000002            -0.000001             -0.000002             -0.000003           -0.000001             -0.000004             1.908305          2.462506        3.111520        2.692779          2.966099           3.212718   
SI        14.000000     10.000000    24.000000       232.619593     157.591648       390.211241        -26.101865           43.969780         -5.197341          -3.029551          -3.097907       -175.248517      -1.873963      -1.193584       -178.316064        -3.145818        -16.771198          -0.000008            -0.000011             -0.000009             -0.000014           -0.000011             -0.000025             1.870842          1.632643        3.059978        2.818047          2.961576           3.162825   
SI        14.000000     12.000000    26.000000       235.400712     201.362350       436.763062        -33.749186           44.108076         -5.228810          -2.399814          -3.228630       -206.319073      -1.723812      -1.551422       -209.594307        -5.505554        -15.301754           0.095914             0.132991              0.112274              0.157026            0.171925              0.328950             1.795717          1.728714        3.044557        2.922216          2.988714           3.147908   
SI        14.000000     14.000000    28.000000       237.110881     243.036046       480.146927        -40.464514           44.145176         -5.238289          -2.131336          -2.447811       -234.476398      -1.616532      -1.747978       -237.840908        -8.009846        -13.304977          -0.000009            -0.000008             -0.000009             -0.000014           -0.000013             -0.000028             1.737519          1.846547        3.033170        2.996284          3.014783           3.136896   
SI        14.000000     16.000000    30.000000       235.096254     277.909782       513.006036        -40.273812           43.856754         -5.209985          -2.024769          -2.098684       -256.879853      -1.575580      -1.600672       -260.056105       -10.205748         -9.791732          -0.000002            -0.000002             -0.000002             -0.000004           -0.000003             -0.000007             1.710605          1.807468        3.049228        3.104119          3.078625           3.152427   
SI        14.000000     18.000000    32.000000       230.417000     308.159420       538.576419        -32.015269           43.309760         -5.151775          -1.929059          -3.151510       -272.315484      -1.529166      -1.428810       -275.273460       -12.350107         -7.680713          -0.000001            -0.000001             -0.000001             -0.000002           -0.000002             -0.000004             1.675887          1.539789        3.084457        3.217635          3.160060           3.186514   
SI        14.000000     20.000000    34.000000       226.130726     342.464927       568.595653        -26.705510           42.794742         -5.097753          -1.832115          -4.337571       -285.191612      -1.485780      -1.512281       -288.189673       -14.397242         -6.464223           0.000000             0.000000              0.000000             -0.000001            0.000000             -0.000001             1.647959          1.616551        3.118632        3.313931          3.234942           3.219606   
