EDF       Z     N      beta_2     beta_3  
SV-min    26    40   0.000306   -0.000000  
SV-min    26    42   0.000308   -0.000000  
SV-min    26    44   -0.000000   -0.000000  
SV-min    26    46   -0.002080   -0.000000  
SV-min    26    48   -0.000001   -0.000000  
SV-min    26    50   -0.000000   0.000000  
SV-min    26    52   0.040317   -0.000000  
SV-min    26    54   0.000000   -0.000000  
SV-min    26    56   0.000004   -0.000000  
SV-min    26    58   0.000005   0.000000  
SV-min    26    60   -0.000003   -0.000000  
SV-min    28    24   0.052511   0.000000  
SV-min    28    26   0.063576   -0.000000  
SV-min    28    28   0.001563   -0.000000  
SV-min    28    30   0.000984   -0.000000  
SV-min    28    32   -0.000000   0.000000  
SV-min    28    34   -0.041615   -0.000000  
SV-min    28    36   -0.000000   -0.000000  
SV-min    28    38   0.000477   -0.000000  
SV-min    28    40   0.000328   0.000000  
SV-min    28    42   -0.000309   0.000000  
SV-min    28    44   0.000366   0.000000  
SV-min    28    46   -0.000000   -0.000000  
SV-min    28    48   0.000555   -0.000000  
SV-min    28    50   0.000716   -0.000000  
SV-min    28    52   0.000849   -0.000000  
SV-min    28    54   0.000809   0.000000  
SV-min    28    56   -0.000652   -0.000000  
SV-min    28    58   0.000535   -0.000000  
SV-min    28    60   -0.000002   0.000000  
SV-min    28    62   -0.000002   -0.000000  
SV-min    28    64   0.000001   -0.000000  
SV-min    30    26   -0.000001   0.000000  
SV-min    30    28   0.001239   0.000000  
SV-min    30    30   -0.000897   -0.000000  
SV-min    30    32   0.001586   0.000000  
SV-min    30    34   -0.067450   -0.000000  
SV-min    30    36   -0.000000   0.000000  
SV-min    30    38   0.000547   -0.000000  
SV-min    30    40   -0.000000   -0.000000  
SV-min    30    42   0.000352   0.000000  
SV-min    30    44   -0.000000   0.000000  
SV-min    30    46   0.000000   0.000000  
SV-min    30    48   -0.003874   -0.000000  
SV-min    30    50   0.000000   0.000000  
SV-min    30    52   0.046667   -0.000000  
SV-min    30    54   -0.056456   0.000000  
SV-min    30    56   0.031586   0.000000  
SV-min    30    58   0.007943   -0.000000  
SV-min    30    60   0.029115   -0.000000  
SV-min    30    62   0.000001   -0.000000  
SV-min    30    64   -0.063339   -0.000000  
SV-min    30    66   0.000002   0.000000  
SV-min    30    68   -0.000000   -0.000000  
SV-min    30    70   0.000001   -0.000000  
SV-min    30    72   0.145592   0.000016  
SV-min    30    74   0.169880   0.000000  
SV-min    32    30   -0.000000   -0.000000  
SV-min    32    32   0.068632   -0.000000  
SV-min    32    34   -0.119647   -0.000000  
SV-min    32    36   -0.108066   -0.000000  
SV-min    32    38   0.000949   0.000000  
SV-min    32    40   0.000523   -0.000000  
SV-min    32    42   0.000491   0.000000  
SV-min    32    44   0.046520   0.000005  
SV-min    32    46   0.071692   0.000000  
SV-min    32    48   0.079277   0.000001  
SV-min    32    50   0.080846   0.000001  
SV-min    32    52   0.086203   0.000000  
SV-min    32    54   0.098684   0.000000  
SV-min    32    56   -0.119254   -0.000000  
SV-min    32    58   -0.138063   -0.000000  
SV-min    32    60   -0.150436   -0.000000  
SV-min    32    62   -0.154842   -0.000000  
SV-min    32    64   -0.152004   -0.000000  
SV-min    32    66   -0.142974   -0.000000  
SV-min    32    68   -0.128569   -0.000000  
SV-min    32    70   0.138589   0.000028  
SV-min    32    72   0.148051   0.000016  
SV-min    32    74   0.156818   0.000012  
SV-min    32    76   0.163942   0.000000  
SV-min    32    78   0.168761   0.000000  
SV-min    34    32   -0.129480   -0.000000  
SV-min    34    34   -0.145545   -0.000000  
SV-min    34    36   -0.137098   -0.000000  
SV-min    34    38   -0.102852   -0.000000  
