EDF       Z     N      beta_2     beta_3  
UNEDF0     2     2   0.000244   -0.000000  
UNEDF0     2     4   0.000129   0.000004  
UNEDF0     2     6   -0.000039   -0.000000  
UNEDF0     4     2   0.000112   0.000015  
UNEDF0     4     4   0.000225   -0.000000  
UNEDF0     4     6   0.000727   0.000003  
UNEDF0     4     8   0.026550   0.027922  
UNEDF0     6     4   0.000170   0.000003  
UNEDF0     6     6   0.004111   0.000326  
UNEDF0     6     8   0.007754   0.002430  
UNEDF0     6    10   -0.000305   0.000000  
UNEDF0     6    12   0.000018   -0.000000  
UNEDF0     6    14   0.000000   -0.000000  
UNEDF0     6    16   0.000001   -0.000000  
UNEDF0     8     6   0.004002   0.000674  
UNEDF0     8     8   0.000160   0.000000  
UNEDF0     8    10   -0.000000   0.000000  
UNEDF0     8    12   0.000402   0.000000  
UNEDF0     8    14   0.000001   0.000000  
UNEDF0     8    16   0.006521   0.002711  
UNEDF0     8    18   -0.000041   0.000000  
UNEDF0     8    20   0.000162   0.000002  
UNEDF0    10     6   0.000171   0.000004  
UNEDF0    10     8   0.000238   0.000000  
UNEDF0    10    10   0.000000   0.000000  
UNEDF0    10    12   0.000526   0.000000  
UNEDF0    10    14   0.002590   0.000246  
UNEDF0    10    16   0.000216   0.000001  
UNEDF0    10    18   0.000141   0.000001  
UNEDF0    10    20   0.003369   0.000172  
UNEDF0    10    22   0.027923   0.000000  
UNEDF0    10    24   0.117586   -0.000000  
UNEDF0    12     8   -0.000239   -0.000000  
UNEDF0    12    10   -0.000000   -0.000000  
UNEDF0    12    12   0.032046   -0.000000  
UNEDF0    12    14   0.000433   0.000000  
UNEDF0    12    16   0.000494   -0.000000  
UNEDF0    12    18   0.000192   0.000003  
UNEDF0    12    20   0.001122   0.000024  
UNEDF0    12    22   0.056233   0.000000  
UNEDF0    12    24   0.160695   0.000000  
UNEDF0    12    26   0.177967   -0.000001  
UNEDF0    12    28   0.130794   -0.000001  
UNEDF0    12    30   -0.070026   -0.000000  
UNEDF0    12    32   0.000086   -0.000000  
UNEDF0    12    34   -0.001978   0.000000  
UNEDF0    14     8   0.003663   0.003426  
UNEDF0    14    10   -0.004965   0.002790  
UNEDF0    14    12   -0.000000   0.000000  
UNEDF0    14    14   0.004662   0.000002  
UNEDF0    14    16   0.000233   -0.000000  
UNEDF0    14    18   0.000315   0.000037  
UNEDF0    14    20   0.000275   0.000009  
UNEDF0    14    22   -0.000409   0.000000  
UNEDF0    14    24   0.082012   0.000000  
UNEDF0    14    26   0.107394   -0.000000  
