EDF       Z     N      beta_2     beta_3  
UNEDF1     2     2   0.000976   0.000055  
UNEDF1     2     4   0.000298   0.000026  
UNEDF1     2     6   0.000019   -0.000000  
UNEDF1     4     2   0.000008   0.000000  
UNEDF1     4     4   0.002306   0.000003  
UNEDF1     4     6   0.002126   0.000038  
UNEDF1     4     8   0.001475   0.000201  
UNEDF1     6     4   0.001773   0.000250  
UNEDF1     6     6   0.001595   0.000015  
UNEDF1     6     8   0.001152   0.000012  
UNEDF1     6    10   0.000004   0.000000  
UNEDF1     6    12   0.009589   0.000183  
UNEDF1     6    14   0.003656   0.000136  
UNEDF1     6    16   -0.004333   -0.000000  
UNEDF1     8     4   -0.004861   -0.000000  
UNEDF1     8     6   0.001034   0.000035  
UNEDF1     8     8   0.000846   0.000004  
UNEDF1     8    10   0.007360   0.000306  
UNEDF1     8    12   0.011105   0.001981  
UNEDF1     8    14   0.010277   0.003605  
UNEDF1     8    16   0.004888   0.001775  
UNEDF1     8    18   -0.000919   -0.000000  
UNEDF1    10     8   -0.000269   -0.000000  
UNEDF1    10    10   0.143825   -0.000131  
UNEDF1    10    12   0.192117   -0.000000  
UNEDF1    10    14   0.093829   -0.000089  
UNEDF1    10    16   0.006883   0.000681  
UNEDF1    10    18   0.003547   0.001107  
UNEDF1    10    20   0.003646   0.000083  
UNEDF1    10    22   0.144607   -0.000000  
UNEDF1    10    24   0.183037   -0.000000  
UNEDF1    12     8   0.008124   0.008153  
UNEDF1    12    10   0.185241   -0.000125  
UNEDF1    12    12   0.247372   -0.000000  
UNEDF1    12    14   -0.135801   -0.000000  
UNEDF1    12    16   0.025540   0.000000  
UNEDF1    12    18   -0.002693   0.000482  
UNEDF1    12    20   0.003967   0.000101  
UNEDF1    12    22   0.218246   -0.000797  
UNEDF1    12    24   0.253542   -0.000383  
UNEDF1    12    26   0.253375   -0.000000  
UNEDF1    12    28   0.212680   -0.000000  
UNEDF1    12    30   -0.137826   0.000000  
UNEDF1    12    32   0.001119   0.000000  
UNEDF1    12    34   0.000389   -0.000000  
UNEDF1    14     8   -0.003375   -0.000000  
UNEDF1    14    10   0.121490   -0.000103  
UNEDF1    14    12   0.180422   -0.000000  
UNEDF1    14    14   -0.148232   -0.000000  
UNEDF1    14    16   0.000468   -0.000000  
UNEDF1    14    18   -0.006955   0.000000  
UNEDF1    14    20   0.001981   0.000227  
UNEDF1    14    22   0.002130   0.001128  
UNEDF1    14    24   0.198016   -0.000359  
UNEDF1    14    26   0.213736   -0.000390  
UNEDF1    14    28   -0.190533   0.000000  
UNEDF1    14    30   -0.161456   -0.000000  
UNEDF1    14    32   0.001539   -0.000000  
UNEDF1    14    34   0.018091   -0.000352  
UNEDF1    16    10   -0.013016   0.000715  
UNEDF1    16    12   -0.032359   -0.000000  
UNEDF1    16    14   0.001040   -0.000000  
UNEDF1    16    16   -0.007685   -0.000000  
UNEDF1    16    18   0.004200   -0.000001  
UNEDF1    16    20   0.003782   0.000000  
UNEDF1    16    22   -0.007474   0.000000  
UNEDF1    16    24   0.153084   0.000239  
UNEDF1    16    26   0.171824   -0.000050  
UNEDF1    16    28   -0.154131   0.000000  
UNEDF1    16    30   -0.126565   -0.000000  
UNEDF1    16    32   0.000308   -0.000000  
UNEDF1    16    34   0.011892   -0.000103  
UNEDF1    18    14   0.005237   0.001570  
UNEDF1    18    16   0.006749   0.000265  
UNEDF1    18    18   -0.002139   0.000000  
UNEDF1    18    20   0.001264   -0.000000  
UNEDF1    18    22   -0.003969   -0.000000  
UNEDF1    18    24   -0.000000   -0.000000  
UNEDF1    18    26   -0.032739   0.001329  
UNEDF1    18    28   -0.083562   0.000000  
UNEDF1    18    30   0.001360   0.000000  
UNEDF1    18    32   0.000263   -0.000004  
UNEDF1    18    34   0.000264   -0.000000  
UNEDF1    18    36   0.004497   0.000067  
UNEDF1    18    38   0.005176   0.001709  
UNEDF1    18    40   0.007591   0.000596  
UNEDF1    20    14   -0.006774   -0.000007  
UNEDF1    20    16   -0.000400   0.000382  
UNEDF1    20    18   -0.001119   0.000000  
UNEDF1    20    20   0.000550   0.000070  
UNEDF1    20    22   0.001455   0.000027  
UNEDF1    20    24   0.001977   0.000084  
UNEDF1    20    26   0.001421   0.000157  
UNEDF1    20    28   -0.000781   0.000334  
UNEDF1    20    30   0.000208   -0.000001  
UNEDF1    20    32   0.004855   -0.000399  
UNEDF1    20    34   0.004110   -0.000565  
UNEDF1    20    36   0.002682   -0.000435  
UNEDF1    20    38   0.002035   -0.000296  
UNEDF1    20    40   0.002125   0.000006  
UNEDF1    20    42   -0.000187   0.000000  
UNEDF1    20    44   0.000446   0.000001  
UNEDF1    20    46   0.003213   -0.000000  
UNEDF1    20    48   0.000015   0.000000  
UNEDF1    20    50   0.005125   -0.000000  
UNEDF1    20    52   0.001840   -0.000000  
UNEDF1    20    54   0.000343   -0.000000  
UNEDF1    20    56   -0.000201   0.000000  
UNEDF1    22    18   -0.002596   -0.000000  
UNEDF1    22    20   0.000028   0.000000  
UNEDF1    22    22   -0.000001   -0.000000  
UNEDF1    22    24   0.142712   -0.000000  
UNEDF1    22    26   0.104804   -0.000000  
UNEDF1    22    28   -0.000001   -0.000000  
UNEDF1    22    30   -0.000000   0.000000  
UNEDF1    22    32   -0.000000   0.000000  
UNEDF1    22    34   -0.000000   -0.000000  
UNEDF1    22    36   -0.000000   0.000000  
UNEDF1    22    38   -0.000000   -0.000000  
UNEDF1    22    40   -0.000000   -0.000000  
UNEDF1    22    42   -0.000000   0.000000  
UNEDF1    22    44   0.136970   0.000000  
UNEDF1    22    46   0.165113   -0.000000  
UNEDF1    22    48   0.169163   -0.000000  
UNEDF1    22    50   0.154849   -0.000000  
UNEDF1    22    52   0.122019   0.000000  
UNEDF1    22    54   -0.079592   0.000055  
UNEDF1    22    56   -0.000056   0.000000  
UNEDF1    22    58   0.000205   0.000000  
UNEDF1    24    20   0.001161   0.000007  
UNEDF1    24    22   0.131300   0.001076  
UNEDF1    24    24   0.192008   0.000000  
UNEDF1    24    26   0.185570   0.000000  
UNEDF1    24    28   0.126614   -0.000000  
UNEDF1    24    30   -0.000000   -0.000000  
UNEDF1    24    32   0.100208   0.000000  
UNEDF1    24    34   0.116539   0.000000  
UNEDF1    24    36   0.093102   -0.000000  
