EDF       Z     N      beta_2     beta_3  
  SLY4    26    52   0.000460   -0.000000  
  SLY4    26    54   -0.002576   -0.000000  
  SLY4    26    56   -0.000573   -0.000000  
  SLY4    26    58   -0.000507   -0.000000  
  SLY4    28    24   -0.000589   0.000005  
  SLY4    28    26   0.005062   -0.000000  
  SLY4    28    28   0.001118   -0.000000  
  SLY4    28    30   0.001348   -0.000000  
  SLY4    28    32   -0.000000   0.000000  
  SLY4    28    34   -0.000000   -0.000000  
  SLY4    28    36   0.000837   -0.000000  
  SLY4    28    38   0.000386   -0.000000  
  SLY4    28    40   0.000252   -0.000000  
  SLY4    28    42   0.000227   0.000000  
  SLY4    28    44   0.000264   -0.000000  
  SLY4    28    46   0.000314   -0.000000  
  SLY4    28    48   0.000327   -0.000000  
  SLY4    28    50   0.000360   -0.000000  
  SLY4    28    52   0.000491   -0.000000  
  SLY4    28    54   0.000799   -0.000000  
  SLY4    28    56   -0.001177   0.000000  
  SLY4    28    58   0.001882   0.000000  
  SLY4    28    60   0.002735   0.000000  
  SLY4    30    26   -0.000000   -0.000000  
  SLY4    30    28   0.002172   -0.000000  
  SLY4    30    30   -0.054040   -0.000000  
  SLY4    30    32   -0.104887   0.000000  
  SLY4    30    34   -0.111698   -0.000000  
  SLY4    30    36   -0.082673   0.000000  
  SLY4    30    38   0.000616   -0.000000  
  SLY4    30    40   -0.000329   -0.000000  
  SLY4    30    42   0.000291   -0.000000  
  SLY4    30    44   -0.001104   0.000000  
  SLY4    30    46   -0.001474   -0.000000  
  SLY4    30    48   0.000460   -0.000000  
  SLY4    30    50   -0.000534   0.000000  
  SLY4    30    52   0.000000   -0.000000  
  SLY4    30    54   0.085442   0.000008  
  SLY4    30    56   0.113385   0.000012  
  SLY4    30    58   0.122763   -0.000000  
  SLY4    30    60   -0.140478   -0.000000  
  SLY4    30    62   -0.144190   -0.000000  
  SLY4    30    64   -0.139263   -0.000000  
  SLY4    30    66   -0.127208   -0.000000  
  SLY4    30    68   -0.105769   -0.000000  
  SLY4    32    28   -0.080277   0.000000  
  SLY4    32    30   -0.131433   0.000000  
  SLY4    32    32   -0.157114   -0.000000  
  SLY4    32    34   -0.165074   -0.000000  
  SLY4    32    36   -0.155016   -0.000000  
  SLY4    32    38   -0.122080   -0.000000  
  SLY4    32    40   0.000462   -0.000000  
  SLY4    32    42   0.000386   -0.000000  
  SLY4    32    44   0.085506   0.000331  
  SLY4    32    46   0.091627   0.000144  
  SLY4    32    48   0.078388   0.000000  
  SLY4    32    50   -0.005351   -0.000000  
  SLY4    32    52   0.107198   0.000390  
  SLY4    32    54   0.141204   0.000000  
  SLY4    32    56   0.163411   0.000000  
  SLY4    32    58   0.174703   -0.000000  
  SLY4    32    60   -0.183742   0.000000  
  SLY4    32    62   -0.188029   -0.000000  
  SLY4    32    64   -0.187520   0.000000  
  SLY4    32    66   -0.183399   0.000000  
  SLY4    32    68   -0.175165   -0.000000  
  SLY4    32    70   0.206548   0.000475  
  SLY4    32    72   0.184428   0.000300  
  SLY4    32    74   0.158847   0.000000  
  SLY4    32    76   0.137067   0.000094  
  SLY4    34    30   -0.141070   0.000000  
  SLY4    34    32   -0.169767   -0.000000  
  SLY4    34    34   -0.181247   -0.000000  
  SLY4    34    36   -0.175385   -0.000000  
  SLY4    34    38   -0.149870   0.000000  
  SLY4    34    40   0.000504   -0.000000  
  SLY4    34    42   0.000407   -0.000000  
  SLY4    34    44   0.074841   0.000166  
  SLY4    34    46   0.090859   0.000000  
  SLY4    34    48   0.047288   -0.000000  
  SLY4    34    50   -0.006114   -0.000000  
  SLY4    34    52   0.093564   -0.000000  
  SLY4    34    54   0.141319   0.000980  
  SLY4    34    56   0.168507   0.001793  
  SLY4    34    58   -0.183916   -0.000000  
  SLY4    34    60   -0.197057   -0.000000  
  SLY4    34    62   -0.202566   0.000000  
  SLY4    34    64   -0.202517   0.000000  
  SLY4    34    66   -0.199389   -0.000000  
  SLY4    34    68   -0.192982   0.000000  
  SLY4    34    70   -0.182052   -0.000000  
  SLY4    34    72   -0.162822   -0.000000  
  SLY4    34    74   0.109865   0.000000  
  SLY4    34    76   0.098632   0.000020  
  SLY4    34    78   0.074534   0.000000  
  SLY4    34    80   -0.000001   0.000000  
  SLY4    36    34   -0.182889   0.000000  
  SLY4    36    36   -0.177108   0.000000  
  SLY4    36    38   -0.137866   -0.000000  
  SLY4    36    40   0.000398   0.000000  
  SLY4    36    42   0.000325   0.000000  
  SLY4    36    44   0.000000   0.000000  
  SLY4    36    46   0.040745   0.000000  
  SLY4    36    48   0.000000   0.000000  
  SLY4    36    50   0.000752   0.000000  
  SLY4    36    52   -0.052533   -0.000000  
  SLY4    36    54   -0.115287   -0.000000  
  SLY4    36    56   -0.155756   -0.000000  
  SLY4    36    58   -0.184018   -0.000000  
  SLY4    36    60   -0.200255   0.000000  
  SLY4    36    62   -0.206963   0.000000  
  SLY4    36    64   -0.206404   0.000000  
  SLY4    36    66   -0.202572   0.000000  
  SLY4    36    68   -0.196103   -0.000000  
  SLY4    36    70   -0.183089   0.000000  
  SLY4    36    72   -0.143891   0.000000  
  SLY4    36    74   -0.000000   -0.000000  
  SLY4    36    76   0.018751   -0.000000  
  SLY4    36    78   -0.001527   0.000000  
  SLY4    36    80   0.000299   0.000000  
  SLY4    36    82   0.003397   0.000000  
  SLY4    38    36   -0.148123   -0.000000  
