EDF       Z     N      beta_2     beta_3  
  SKM*     2     2   0.000440   0.000076  
  SKM*     2     4   0.000340   0.000048  
  SKM*     2     6   0.000549   0.000129  
  SKM*     4     2   0.000000   -0.000000  
  SKM*     4     4   0.000001   0.000000  
  SKM*     4     6   0.000001   0.000000  
  SKM*     4     8   -0.000000   0.000000  
  SKM*     4    10   0.000015   0.000000  
  SKM*     4    12   0.000352   0.000000  
  SKM*     4    14   0.000034   -0.000000  
  SKM*     6     4   0.000001   -0.000000  
  SKM*     6     6   0.000000   0.000000  
  SKM*     6     8   0.006577   0.002937  
  SKM*     6    10   0.004735   0.000116  
  SKM*     6    12   0.000008   -0.000000  
  SKM*     6    14   0.000003   -0.000000  
  SKM*     6    16   0.000008   -0.000000  
  SKM*     8     4   0.000005   -0.000001  
  SKM*     8     6   0.006029   0.007103  
  SKM*     8     8   -0.000000   -0.000000  
  SKM*     8    10   0.002740   0.000031  
  SKM*     8    12   0.007253   0.001053  
  SKM*     8    14   0.003485   0.000176  
  SKM*     8    16   0.000181   -0.000000  
  SKM*     8    18   0.020273   0.021071  
  SKM*     8    20   0.001338   0.000064  
  SKM*    10     6   0.048241   0.093456  
  SKM*    10     8   0.001276   0.000076  
  SKM*    10    10   -0.000000   -0.000000  
  SKM*    10    12   0.000876   0.000006  
  SKM*    10    14   -0.000344   -0.000000  
  SKM*    10    16   0.000231   0.000002  
  SKM*    10    18   0.000432   0.000010  
  SKM*    10    20   0.000265   0.000001  
  SKM*    10    22   -0.000010   -0.000000  
  SKM*    10    24   -0.007533   -0.000000  
  SKM*    10    26   0.073578   0.000000  
  SKM*    10    28   0.028886   -0.000000  
  SKM*    12     8   -0.000000   -0.000000  
  SKM*    12    10   -0.000000   0.000000  
  SKM*    12    12   -0.011182   -0.000000  
  SKM*    12    14   -0.000000   -0.000000  
  SKM*    12    16   -0.000006   0.000009  
  SKM*    12    18   0.001901   0.000354  
  SKM*    12    20   0.000317   0.000000  
  SKM*    12    22   -0.000560   -0.000000  
  SKM*    12    24   0.117899   -0.000000  
  SKM*    12    26   0.141624   -0.000000  
  SKM*    12    28   0.080511   -0.000000  
  SKM*    12    30   -0.016894   -0.000000  
  SKM*    12    32   0.000323   0.000000  
  SKM*    14     8   0.000047   0.000008  
  SKM*    14    10   0.000000   -0.000000  
  SKM*    14    12   -0.000000   -0.000000  
  SKM*    14    14   0.000000   -0.000000  
  SKM*    14    16   0.000226   0.000004  
  SKM*    14    18   0.000248   0.000001  
  SKM*    14    20   0.000943   0.000347  
  SKM*    14    22   0.000287   0.000052  
  SKM*    14    24   0.044641   -0.000000  
  SKM*    14    26   0.083224   -0.000000  
  SKM*    14    28   -0.059498   -0.000000  
  SKM*    14    30   0.002182   -0.000000  
  SKM*    14    32   0.000287   -0.000000  
  SKM*    14    34   0.000739   0.000014  
  SKM*    16    12   0.000000   -0.000000  
  SKM*    16    14   0.000039   0.000014  
  SKM*    16    16   0.000087   0.000010  
  SKM*    16    18   0.001271   0.002010  
  SKM*    16    20   0.000173   0.000037  
  SKM*    16    22   -0.000310   -0.000000  
  SKM*    16    24   0.000574   0.000000  
  SKM*    16    26   0.021975   0.000000  
  SKM*    16    28   -0.018233   -0.000000  
  SKM*    16    30   -0.000418   -0.000000  
  SKM*    16    32   0.000235   -0.000000  
  SKM*    16    34   0.000205   0.000000  
  SKM*    16    36   0.000232   0.000008  
  SKM*    18    14   0.000369   0.000000  
  SKM*    18    16   -0.000018   0.000018  
  SKM*    18    18   0.000186   0.000012  
  SKM*    18    20   0.000161   0.000041  
  SKM*    18    22   0.000248   0.000000  
  SKM*    18    24   -0.000000   -0.000000  
  SKM*    18    26   -0.000495   -0.000000  
  SKM*    18    28   0.000452   -0.000000  
  SKM*    18    30   0.000287   -0.000000  
  SKM*    18    32   0.000201   -0.000001  
  SKM*    18    34   0.000185   -0.000010  
