EDF       Z     N      beta_2     beta_3  
UNEDF2    24    42   0.174191   0.000357  
UNEDF2    24    44   0.165227   0.000312  
UNEDF2    24    46   0.159211   0.000044  
UNEDF2    24    48   0.145278   0.000000  
UNEDF2    24    50   0.121955   -0.000000  
UNEDF2    24    52   0.084642   0.000000  
UNEDF2    24    54   -0.033211   -0.000000  
UNEDF2    24    56   -0.000316   -0.000000  
UNEDF2    24    58   0.000215   0.000000  
UNEDF2    26    20   0.000238   0.000011  
UNEDF2    26    22   0.046128   0.000000  
UNEDF2    26    24   0.140190   0.000000  
UNEDF2    26    26   0.119658   0.000000  
UNEDF2    26    28   -0.000000   0.000000  
UNEDF2    26    30   -0.000496   0.000000  
UNEDF2    26    32   -0.000909   -0.000000  
UNEDF2    26    34   0.098661   0.000248  
UNEDF2    26    36   0.108874   0.000089  
UNEDF2    26    38   0.001577   -0.000000  
UNEDF2    26    40   -0.000322   -0.000000  
UNEDF2    26    42   -0.000359   -0.000000  
UNEDF2    26    44   0.135712   -0.000000  
UNEDF2    26    46   0.129334   0.000043  
UNEDF2    26    48   -0.003221   0.000000  
UNEDF2    26    50   -0.002947   -0.000000  
UNEDF2    26    52   -0.000000   -0.000000  
UNEDF2    26    54   -0.000000   0.000000  
UNEDF2    26    56   0.000287   -0.000000  
UNEDF2    26    58   0.000224   -0.000000  
UNEDF2    28    22   0.037736   0.000000  
UNEDF2    28    24   0.117931   0.000065  
UNEDF2    28    26   0.085063   -0.000000  
UNEDF2    28    28   0.001413   -0.000000  
UNEDF2    28    30   0.000507   -0.000000  
UNEDF2    28    32   0.002503   -0.000000  
UNEDF2    28    34   0.088473   0.000233  
UNEDF2    28    36   -0.092496   -0.000000  
UNEDF2    28    38   0.001320   -0.000000  
UNEDF2    28    40   0.000302   0.000000  
UNEDF2    28    42   -0.000331   -0.000000  
UNEDF2    28    44   -0.000000   -0.000000  
UNEDF2    28    46   -0.000000   0.000000  
UNEDF2    28    48   -0.000865   -0.000000  
UNEDF2    28    50   0.000563   0.000000  
UNEDF2    28    52   0.000518   -0.000000  
UNEDF2    28    54   0.000416   -0.000000  
UNEDF2    28    56   0.000290   0.000000  
UNEDF2    28    58   0.000248   0.000000  
UNEDF2    28    60   0.000272   0.000000  
UNEDF2    30    26   -0.000000   -0.000000  
UNEDF2    30    28   0.001282   -0.000000  
UNEDF2    30    30   0.000497   -0.000000  
UNEDF2    30    32   0.003318   -0.000000  
UNEDF2    30    34   0.106261   0.000886  
UNEDF2    30    36   -0.114491   -0.000000  
UNEDF2    30    38   0.001678   -0.000000  
UNEDF2    30    40   -0.000313   -0.000000  
UNEDF2    30    42   -0.000374   -0.000000  
UNEDF2    30    44   0.106846   -0.000000  
UNEDF2    30    46   0.113567   0.000192  
UNEDF2    30    48   0.081954   0.000038  
UNEDF2    30    50   0.005057   -0.000000  
UNEDF2    30    52   0.050597   0.000108  
UNEDF2    30    54   -0.044937   0.000000  
UNEDF2    30    56   0.000437   -0.000000  
UNEDF2    30    58   -0.000392   -0.000000  
UNEDF2    30    60   0.001121   0.000000  
UNEDF2    30    62   0.076790   -0.000000  
UNEDF2    30    64   0.156569   0.001127  
UNEDF2    30    66   0.199102   0.001372  
UNEDF2    30    68   0.219109   0.001396  
UNEDF2    30    70   0.228762   0.001353  
UNEDF2    32    28   -0.000000   0.000000  
UNEDF2    32    30   0.000000   0.000000  
UNEDF2    32    32   0.003581   0.000000  
UNEDF2    32    34   0.144861   0.001295  
UNEDF2    32    36   -0.165744   0.000000  
UNEDF2    32    38   -0.141799   0.000000  
UNEDF2    32    40   0.000410   0.000000  
UNEDF2    32    42   -0.000000   0.000000  
UNEDF2    32    44   0.143294   0.000000  
UNEDF2    32    46   0.141200   0.000589  
UNEDF2    32    48   0.119742   -0.000246  
UNEDF2    32    50   0.080417   -0.000000  
UNEDF2    32    52   0.088119   0.000944  
UNEDF2    32    54   0.096564   0.002423  
UNEDF2    32    56   0.000000   0.000000  
UNEDF2    32    58   0.000000   -0.000000  
UNEDF2    32    60   0.132043   0.002160  
UNEDF2    32    62   0.161105   0.001648  
UNEDF2    32    64   0.189213   0.001357  
UNEDF2    32    66   0.207998   0.001145  
UNEDF2    32    68   0.216818   0.000941  
UNEDF2    32    70   0.218495   0.000705  
UNEDF2    32    72   0.216241   0.000439  
UNEDF2    32    74   0.212817   0.000318  
UNEDF2    32    76   0.209352   0.000276  
UNEDF2    32    78   0.205258   0.000299  
UNEDF2    34    30   0.000000   -0.000000  
UNEDF2    34    32   0.157594   -0.000000  
UNEDF2    34    34   -0.191579   -0.000000  
UNEDF2    34    36   -0.195992   -0.000000  
UNEDF2    34    38   -0.173867   -0.000000  
UNEDF2    34    40   0.000489   -0.000000  
UNEDF2    34    42   -0.000000   -0.000000  
UNEDF2    34    44   0.135736   0.000293  
UNEDF2    34    46   0.127375   0.000411  
UNEDF2    34    48   0.100245   0.000354  
UNEDF2    34    50   0.000000   0.000000  
UNEDF2    34    52   -0.084025   -0.000000  
UNEDF2    34    54   -0.095781   -0.000000  
UNEDF2    34    56   -0.065770   -0.000000  
UNEDF2    34    58   0.000000   -0.000000  
UNEDF2    34    60   -0.171063   0.000000  
UNEDF2    34    62   -0.185867   0.000000  
UNEDF2    34    64   -0.192119   0.000000  
UNEDF2    34    66   -0.193046   0.000000  
UNEDF2    34    68   -0.191064   0.000000  
UNEDF2    34    70   0.225632   0.000555  
UNEDF2    34    72   0.212519   0.000348  
UNEDF2    34    74   0.198300   0.000230  
UNEDF2    34    76   0.186388   -0.000000  
UNEDF2    34    78   0.176314   0.000000  
UNEDF2    34    80   0.166270   0.000000  
UNEDF2    34    82   0.154360   -0.000000  
UNEDF2    36    32   -0.173959   0.000000  
UNEDF2    36    34   -0.200525   0.000000  
UNEDF2    36    36   -0.164426   -0.000000  
UNEDF2    36    38   -0.138639   -0.000000  
UNEDF2    36    40   0.000382   0.000000  
UNEDF2    36    42   -0.000000   0.000000  
UNEDF2    36    44   0.087277   0.000092  
UNEDF2    36    46   0.092560   0.000239  
UNEDF2    36    48   0.000000   -0.000000  
UNEDF2    36    50   0.000474   -0.000000  
UNEDF2    36    52   -0.054160   -0.000000  
UNEDF2    36    54   -0.065831   -0.000000  
UNEDF2    36    56   0.001199   0.000000  
UNEDF2    36    58   0.003068   -0.000000  
UNEDF2    36    60   -0.131627   -0.000000  
UNEDF2    36    62   -0.188350   0.000000  
UNEDF2    36    64   -0.195957   0.000000  
UNEDF2    36    66   -0.196621   0.000000  
UNEDF2    36    68   -0.182629   0.000000  
UNEDF2    36    70   -0.171355   0.000000  
UNEDF2    36    72   -0.152581   0.000000  
UNEDF2    36    74   -0.130843   0.000000  
UNEDF2    36    76   -0.085193   0.000000  
UNEDF2    36    78   0.000000   0.000000  
UNEDF2    36    80   0.002872   -0.000000  
UNEDF2    36    82   0.001748   -0.000000  
UNEDF2    36    84   0.002237   0.000000  
UNEDF2    38    34   -0.197562   -0.000000  
UNEDF2    38    36   -0.156029   -0.000000  
UNEDF2    38    38   0.000548   -0.000000  
UNEDF2    38    40   0.000251   0.000000  
UNEDF2    38    42   0.000283   -0.000000  
UNEDF2    38    44   0.000000   0.000000  
UNEDF2    38    46   0.000000   0.000000  
UNEDF2    38    48   0.000280   -0.000000  
UNEDF2    38    50   0.000243   0.000000  
UNEDF2    38    52   0.000000   0.000000  
UNEDF2    38    54   0.000331   0.000000  
UNEDF2    38    56   0.000294   0.000000  
UNEDF2    38    58   0.006531   0.031952  
UNEDF2    38    60   0.012413   0.035217  
UNEDF2    38    62   0.352324   -0.000000  
UNEDF2    38    64   0.353870   -0.000000  
UNEDF2    38    66   0.345782   -0.000000  
UNEDF2    38    68   -0.184897   0.000000  
