  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
 36     68         0         0         0         0         0         0         0
 36     70         0         0         0         0         0         0         0
 36     72         0         0         0         0         0         0         0
 36     74         0         0         0         0         0         0         0
 36     76         0         0         0         0         0         0         0
 36     78         0         0         0         0         0         0         0
 36     80         0         0         0         0         0         0         0
 36     82         0         0         0         0         0         0         0
 36     84         0         0         0         0         0         0         0
 36     86         0         0         0         0         0         0         0
 36     88         0         0         0         0         0         0         0
 36     90         0         0         0         0         0         0         0
 38     34         0         0         0         0         0         0         0
 38     36         0         0         0         0         0         0         0
 38     38         0         0         0         0         0         0         0
 38     40         0         0         0         0         0         0         0
 38     42         0         0         0         0         0         0         0
 38     44         0         0         0         0         0         0         0
 38     46         0         0         0         0         0         0         0
 38     48         0         0         0         0         0         0         0
 38     50         0         0         0         0         0         0         0
 38     52         0         0         0         0         0         0         0
 38     54         0         0         0         0         0         0         0
 38     56         0         0         0         0         0         0         0
 38     58         0         0         1         0         0         0         1
 38     60         0         0         1         0         0         0         1
 38     62         0         0         0         0         0         0         0
 38     64         0         0         0         0         0         0         0
 38     66         0         0         0         0         0         0         0
 38     68         0         0         0         0         0         0         0
 38     70         0         0         0         0         0         0         0
 38     72         0         0         0         0         0         0         0
 38     74         0         0         0         0         0         0         0
 38     76         0         0         0         0         0         0         0
 38     78         0         0         0         0         0         0         0
 38     80         0         0         0         0         0         0         0
 38     82         0         0         0         0         0         0         0
 38     84         0         0         0         0         0         0         0
 38     86         0         0         0         0         0         0         0
 38     88         0         0         0         0         0         0         0
 38     90         0         0         0         0         0         0         0
 38     92         0         0         0         0         0         0         0
 38     94         0         0         0         0         0         0         0
 40     36         0         0         0         0         0         0         0
 40     38         0         0         0         0         0         0         0
 40     40         0         0         0         0         0         0         0
 40     42         0         0         0         0         0         0         0
 40     44         0         0         0         0         0         0         0
 40     46         0         0         0         0         0         0         0
 40     48         0         0         0         0         0         0         0
 40     50         0         0         0         0         0         0         0
 40     52         0         0         0         0         0         0         0
 40     54         0         0         0         0         0         0         0
 40     56         0         0         1         0         0         0         1
 40     58         0         1         1         0         0         0         2
 40     60         0         1         1         0         0         0         2
 40     62         0         0         0         0         0         0         0
 40     64         0         0         0         0         0         0         0
 40     66         0         0         0         0         0         0         0
 40     68         0         0         0         0         0         0         0
 40     70         0         1         0         0         0         0         1
 40     72         0         0         0         0         0         0         0
 40     74         0         0         0         0         0         0         0
 40     76         0         0         0         0         0         0         0
 40     78         0         0         0         0         0         0         0
 40     80         0         0         0         0         0         0         0
 40     82         0         0         0         0         0         0         0
 40     84         0         0         0         0         0         0         0
 40     86         0         0         0         0         0         0         0
 40     88         0         0         0         0         0         0         0
 40     90         0         0         0         0         0         0         0
 40     92         0         0         0         0         0         0         0
 40     94         0         0         1         0         0         0         1
 40     96         0         0         0         0         0         0         0
 42     38         0         0         0         0         0         0         0
 42     40         0         0         1         0         0         0         1
 42     42         0         0         0         0         0         0         0
 42     44         0         0         0         0         0         0         0
 42     46         0         0         0         0         0         0         0
 42     48         0         0         0         0         0         0         0
 42     50         0         0         0         0         0         0         0
 42     52         0         0         0         0         0         0         0
 42     54         0         0         0         0         0         0         0
 42     56         0         0         1         0         0         0         1
 42     58         0         1         1         0         0         0         2
 42     60         0         0         1         0         0         0         1
 42     62         0         0         0         0         0         0         0
 42     64         0         0         0         0         0         0         0
