  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
 80    142         0         0         1         1         0         0         2
 82     98         0         1         0         0         0         0         1
 82    132         0         0         1         0         0         0         1
 82    134         0         0         1         1         0         0         2
 82    136         0         1         1         1         0         0         3
 82    138         0         0         1         1         0         0         2
 82    140         0         1         1         1         0         0         3
 82    142         0         1         1         1         0         0         3
 82    144         0         0         1         0         0         0         1
 84    132         0         0         1         0         0         0         1
 84    134         1         0         1         1         0         0         3
 84    136         1         1         1         1         0         0         4
 84    138         1         1         1         1         0         1         5
 84    140         1         0         1         1         0         0         3
 84    142         1         0         0         0         0         0         1
 84    144         1         0         0         0         0         0         1
 86    130         1         0         0         0         0         0         1
 86    132         1         1         1         1         0         0         4
 86    134         1         1         1         1         0         1         5
 86    136         1         1         1         1         1         1         6
 86    138         1         1         1         1         1         1         6
 86    140         1         1         0         1         1         1         5
 86    142         1         1         0         1         1         1         5
 86    144         1         1         0         1         1         1         5
 86    146         1         0         0         0         0         0         1
 86    148         1         0         0         0         0         0         1
 86    194         0         0         0         1         0         0         1
 86    196         0         0         0         1         0         0         1
 86    198         0         0         0         1         0         0         1
 86    200         0         0         0         1         0         0         1
 88    130         1         1         0         1         0         0         3
 88    132         1         1         1         1         1         1         6
 88    134         1         1         1         1         1         1         6
 88    136         1         1         1         1         1         1         6
 88    138         1         1         1         1         1         1         6
 88    140         1         1         1         1         1         1         6
 88    142         1         1         1         1         1         1         6
 88    144         1         1         1         1         1         1         6
 88    146         1         1         0         1         1         1         5
 88    148         1         1         0         0         0         1         3
 88    150         1         0         0         0         0         1         2
 88    152         1         0         0         0         0         0         1
 88    190         1         0         0         0         0         0         1
 88    192         1         0         0         1         0         0         2
 88    194         1         1         0         1         0         0         3
 88    196         1         1         0         1         0         0         3
 88    198         1         1         0         1         0         0         3
 88    200         1         1         0         1         0         0         3
 88    202         1         1         0         1         0         0         3
 88    204         1         1         0         1         0         0         3
 88    206         1         1         0         0         0         0         2
 88    208         1         1         0         0         0         0         2
 90    130         1         1         1         1         0         1         5
 90    132         1         1         1         1         1         1         6
 90    134         1         1         1         1         1         1         6
 90    136         1         1         1         1         1         1         6
 90    138         1         1         1         1         1         1         6
 90    140         1         1         1         1         1         1         6
 90    142         1         1         1         1         1         1         6
 90    144         1         1         1         1         1         1         6
 90    146         1         1         1         1         1         1         6
 90    148         1         1         1         0         1         1         5
 90    150         1         1         0         0         0         1         3
 90    190         1         0         0         0         0         0         1
 90    192         1         0         0         1         0         1         3
 90    194         1         1         1         1         0         1         5
 90    196         1         1         1         1         0         1         5
 90    198         1         1         0         1         0         1         4
 90    200         1         1         0         1         0         1         4
 90    202         1         1         0         1         0         1         4
 90    204         1         1         1         1         0         1         5
 90    206         1         1         1         1         0         1         5
 90    208         1         1         0         1         0         1         4
 90    210         1         1         0         0         0         1         3
 90    212         1         1         0         0         0         0         2
 92    128         1         0         0         0         0         0         1
 92    130         1         1         1         1         0         1         5
 92    132         1         1         1         1         1         1         6
 92    134         1         1         1         1         1         1         6
 92    136         1         1         1         1         1         1         6
 92    138         1         1         1         1         1         1         6
 92    140         1         1         1         1         1         1         6
 92    142         1         1         1         1         1         1         6
 92    144         1         1         1         1         1         1         6
 92    146         1         1         1         1         1         1         6
 92    148         1         1         1         1         1         1         6
 92    150         1         1         1         0         0         1         4
 92    152         0         1         0         0         0         1         2
 92    156         0         1         0         0         0         0         1
 92    158         0         1         0         0         0         0         1
 92    188         1         0         0         0         0         0         1
 92    190         1         0         0         1         0         0         2
 92    192         1         1         0         1         0         1         4
 92    194         1         1         1         1         0         1         5
 92    196         1         1         1         1         0         1         5
 92    198         1         1         1         1         0         1         5
 92    200         1         1         1         1         0         1         5
 92    202         1         1         1         1         0         1         5
 92    204         1         1         1         1         0         1         5
 92    206         1         1         1         1         0         1         5
 92    208         1         1         1         1         0         1         5
 92    210         1         1         1         0         0         1         4
 92    212         1         1         0         0         0         1         3
 92    214         1         1         0         0         0         1         3
 92    216         1         1         0         0         0         0         2
 94    128         1         1         0         1         0         0         3
 94    130         1         1         1         1         1         1         6
 94    132         1         1         1         1         1         1         6
 94    134         1         1         1         1         1         1         6
 94    136         1         1         1         1         1         1         6
 94    138         1         1         1         1         1         1         6
 94    140         1         1         1         1         1         1         6
 94    142         1         1         1         1         1         1         6
 94    144         1         1         1         1         1         1         6
 94    146         1         1         1         1         1         1         6
 94    148         1         1         1         1         1         1         6
 94    150         0         1         1         0         0         1         3
 94    170         0         1         0         0         0         0         1
 94    188         1         0         0         1         0         0         2
 94    190         1         1         1         1         1         1         6
 94    192         1         1         1         1         1         1         6
 94    194         1         1         1         1         1         1         6
 94    196         1         1         1         1         1         1         6
 94    198         1         1         1         1         1         1         6
 94    200         1         1         1         1         1         1         6
 94    202         1         1         1         1         1         1         6
 94    204         1         1         1         1         1         1         6
 94    206         1         1         1         1         1         1         6
 94    208         1         1         0         1         1         1         5
 94    210         1         1         0         1         0         1         4
 94    212         1         1         0         0         0         1         3
 94    214         1         1         0         0         0         1         3
 94    216         1         1         0         0         0         1         3
 94    218         1         0         0         0         0         1         2
 94    220         1         0         0         0         0         0         1
 96    128         1         1         1         0         1         0         4
 96    130         1         1         1         1         1         1         6
 96    132         1         1         1         1         1         1         6
 96    134         1         1         1         1         1         1         6
 96    136         1         1         1         1         1         1         6
 96    138         1         1         1         1         1         1         6
 96    140         1         1         1         1         1         1         6
 96    142         1         1         1         1         1         1         6
 96    144         1         1         1         1         1         1         6
 96    146         0         1         1         1         1         1         5
 96    148         0         1         0         0         1         0         2
 96    150         0         1         0         0         0         0         1
 96    186         1         1         1         1         0         1         5
 96    188         1         1         1         1         1         1         6
 96    190         1         1         1         1         1         1         6
 96    192         1         1         1         1         1         1         6
 96    194         1         1         1         1         1         1         6
 96    196         1         1         1         1         1         1         6
 96    198         1         1         1         1         1         1         6
 96    200         1         1         1         1         1         1         6
 96    202         1         1         1         1         1         1         6
 96    204         1         1         1         1         1         1         6
 96    206         1         1         0         1         1         1         5
 96    208         1         1         0         0         0         1         3
 96    210         0         1         0         0         0         1         2
 96    212         0         1         0         0         0         1         2
 96    214         0         1         0         0         0         1         2
 96    216         0         1         0         0         0         1         2
 96    218         0         1         0         0         0         1         2
 96    220         0         1         0         0         0         0         1
 98    130         1         1         1         0         1         1         5
 98    132         1         1         1         1         1         1         6
 98    134         1         1         1         1         1         1         6
 98    136         1         1         1         1         1         1         6
 98    138         1         1         1         1         1         1         6
 98    140         1         1         1         1         1         1         6
 98    142         0         1         1         1         1         1         5
 98    144         0         1         1         1         1         1         5
 98    146         0         1         1         1         1         1         5
 98    148         0         1         0         0         0         0         1
 98    182         0         1         0         0         0         0         1
 98    184         1         1         1         0         0         1         4
 98    186         1         1         1         1         1         1         6
 98    188         1         1         1         1         1         1         6
 98    190         1         1         1         1         1         1         6
 98    192         1         1         1         1         1         1         6
 98    194         1         1         1         1         1         1         6
 98    196         1         1         1         1         1         1         6
 98    198         1         1         1         1         1         1         6
 98    200         0         1         1         1         1         1         5
 98    202         0         1         1         1         1         1         5
 98    204         0         1         1         1         1         1         5
 98    206         0         1         0         0         0         0         1
 98    208         0         1         0         0         0         0         1
 98    210         0         1         0         0         0         0         1
 98    212         0         1         0         0         0         0         1
 98    214         0         1         0         0         0         0         1
 98    216         0         1         0         0         0         0         1
 98    218         0         1         0         0         0         0         1
 98    220         0         1         0         0         0         0         1
 98    222         0         1         0         0         0         0         1
 98    224         0         1         0         0         0         0         1
 98    226         0         1         0         0         0         0         1
 98    228         0         0         1         0         0         0         1
100    132         0         1         1         0         0         0         2
100    134         1         1         1         0         1         0         4
100    136         1         1         1         0         1         1         5
100    138         1         1         1         1         1         1         6
100    140         1         1         1         1         1         1         6
100    142         0         1         1         1         1         1         5
100    144         0         1         1         1         1         1         5
100    146         0         1         1         1         1         1         5
100    148         0         1         1         0         0         1         3
100    180         0         0         0         0         0         1         1
100    182         1         1         1         1         0         1         5
100    184         1         1         1         1         1         1         6
100    186         1         1         1         1         1         1         6
100    188         1         1         1         1         1         1         6
100    190         1         1         1         1         1         1         6
100    192         1         1         1         1         1         1         6
100    194         1         1         1         1         1         1         6
100    196         1         1         1         1         1         1         6
100    198         0         1         1         1         1         1         5
100    200         0         1         1         1         1         1         5
100    202         0         1         1         1         1         1         5
100    204         0         1         1         0         1         1         4
100    206         0         1         0         0         0         0         1
100    210         0         1         0         0         0         0         1
100    212         0         1         0         0         0         0         1
100    214         0         1         0         0         0         0         1
100    216         0         1         0         0         0         0         1
100    218         0         1         0         0         0         0         1
100    220         0         1         0         0         0         0         1
100    222         0         1         0         0         0         0         1
100    258         0         0         0         1         0         0         1
102    134         0         1         0         0         0         0         1
102    136         0         1         1         0         1         0         3
102    138         1         1         1         0         1         0         4
102    140         1         1         1         0         1         1         5
102    142         0         1         1         1         1         1         5
102    144         0         1         1         1         1         1         5
102    146         0         1         1         1         1         1         5
102    148         0         1         1         0         0         1         3
102    182         1         1         1         0         1         1         5
102    184         1         1         1         1         1         1         6
102    186         1         1         1         1         1         1         6
102    188         1         1         1         1         1         1         6
102    190         1         1         1         1         1         1         6
102    192         1         1         1         1         1         1         6
102    194         1         1         1         1         1         1         6
102    196         1         1         1         1         1         1         6
102    198         0         1         1         1         1         1         5
102    200         0         1         1         1         1         1         5
102    202         0         1         1         1         1         1         5
102    204         0         1         1         0         0         1         3
102    206         0         1         0         1         0         0         2
102    214         0         1         0         0         0         0         1
102    216         0         1         0         0         0         0         1
102    220         0         1         0         0         0         0         1
102    224         0         1         0         0         0         0         1
102    226         0         1         0         0         0         0         1
102    228         0         1         0         0         0         0         1
102    230         0         1         0         0         0         0         1
102    234         0         1         0         0         0         0         1
102    256         0         0         0         1         0         0         1
102    258         0         0         0         1         0         0         1
104    140         0         1         1         0         0         0         2
104    142         0         1         1         0         1         0         3
104    144         0         1         1         0         1         1         4
104    146         0         1         1         0         0         0         2
104    182         0         1         1         0         1         1         4
104    184         1         1         1         1         1         1         6
104    186         1         1         1         1         1         1         6
104    188         1         1         1         1         1         1         6
104    190         1         1         1         1         1         1         6
104    192         1         1         1         1         1         1         6
104    194         1         1         1         1         1         1         6
